PuzzleId,FEN,Moves,Rating
05Qvq,6Q1/1kp4K/1p1p4/3PpQ2/4P3/7P/4q3/2q5 b - - 6 62,e2c2 f5c8 b7a7 c8a8,1184
05bIJ,3r4/p2P3p/8/6Q1/2k1B2P/P7/1qp3PK/8 b - - 3 33,c2c1q g5d5 c4c3 d5d3,1413
06d9V,4R1rk/5Qpp/2pq4/1p6/p7/6PP/5P1K/2q5 b - - 0 38,g8e8 f7e8 d6f8 e8f8,557
06mur,5r1k/2p4P/8/8/3P4/3BPr2/pqP1KPR1/6R1 b - - 5 41,a2a1q g2g8 f8g8 h7g8q,751
06q6Y,7Q/p2P4/5rk1/5q1p/8/2P5/P4PPP/3R2K1 w - - 2 34,d7d8q f5f2 g1h1 f2f1 d1f1 f6f1,823
07AtG,4r1k1/P4pp1/2p2p2/3p4/3P2p1/2BQ1N1q/5P1b/R6K w - - 0 26,a7a8q h2b8 h1g1 g4f3,2103
07CHw,4rrk1/1p2q3/2p1P2p/2b3p1/8/2B5/2Q1p1PP/3RR2K b - - 1 33,e2d1q c2g6 e7g7 g6g7,1302
07ZOF,4Q1rk/2RQ3p/pp4pq/8/7b/6P1/6PK/8 w - - 0 36,e8e5 h4f6 d7h3 h6h3 h2h3 f6e5,1521
07h6q,6k1/1p3p1p/1P4pB/p7/P5P1/2n2PK1/1qp5/4R3 b - - 4 47,c2c1q e1e8,575
08LwR,3r4/1p1q3Q/4bk2/p3p1B1/P2nB3/3P2PP/1P5K/1R2q3 b - - 1 30,f6g5 h7h4,964
08QBB,2Q5/3P1bk1/p7/1p6/8/P3P3/5PP1/1qn3K1 w - - 1 48,d7d8q c1e2 g1h2 b1g1 h2h3 g1h1 h3g4 h1h5,2108
08hQ1,1q5k/3P1Qpp/8/5p2/5P2/5B1P/6PK/2q2b2 b - - 0 39,c1d2 f7e8 b8e8 d7e8q,1108
08jHj,8/PR6/r5kp/5p2/1pB2b1P/8/8/1Kb5 b - - 2 51,a6a3 b7b6 g6h5 b6a6,1924
08mbc,2Q5/1p6/p1p3p1/6Q1/8/P5k1/KP6/3qq3 b - - 3 60,g3f2 c8f8 d1f3 g5h4 f2g2 f8f3 g2f3 h4e1,2145
08tul,Qnbq1rk1/p4ppp/8/1B6/4p1n1/2N2N2/PPPP1KPP/R1BQ3R w - - 1 10,f2g1 d8b6 d2d4 e4d3 f3d4 b6d4 c1e3 d4e3 g1f1 e3f2,2009
08woy,8/4Q1k1/4P2p/p1K3p1/4B3/1P2P3/q1P2r2/5q2 b - - 3 41,g7g8 e7h7 g8f8 e6e7 f8e8 e4c6,1911
09HMu,8/8/8/2Q3p1/2P5/8/2KN1kq1/7q b - - 0 54,f2e1 c5e3 g2e2 e3g3 e2f2 g3e5,2067
09Ng3,5rk1/pp1P4/2p3p1/6pp/P2QP3/2P1r2P/1P3bK1/8 w - - 6 39,d7d8q e3g3 g2h2 f2d4,1377
0ACMH,5Q2/3P3k/6p1/7p/7r/6qP/6P1/6RK w - - 7 50,d7d8q h4h3 g2h3 g3h3,994
0ANaq,3Q4/3P2pk/4p2q/4q3/1p4RP/6P1/5P1K/8 b - - 0 38,e5e2 d8f8 e2g4 d7d8q,2218
0AQCC,8/6R1/2p3kp/P1Pp1q2/3P4/3Q1P2/5K2/7q b - - 0 41,g6f6 g7f7 f6f7 d3f5,1260
0ATQO,2R5/8/1p1k4/6p1/3q4/5bP1/2Bp3P/1R3K2 b - - 5 43,d2d1q b1d1 f3d1 c8d8 d6e5 d8d4,1698
0B2Xm,Qn1k3r/p4ppp/5p2/8/1q1P4/2b1Q3/P1b1PPPP/4KBNR w K - 0 14,e3c3 b4c3,1055
0BKZ3,1Q3rk1/n1Q2ppp/4p3/4P3/6q1/5R2/5P1P/5K2 b - - 6 43,g4f3 b8f8 g8f8 c7d8,1570
0BOuo,2Q5/p7/5p2/4k3/P1Bq4/6P1/1p4PK/8 b - - 0 50,b2b1q c8e6,1854
0BS2P,2Q4k/6p1/Q5pp/p7/Pr4P1/RPq1r2P/KR6/3q4 b - - 0 39,h8h7 a6g6 h7g6 c8f5,2011
0BebN,6k1/6pp/2b5/4BNP1/4P3/2KP3P/qp6/5R2 b - - 1 44,b2b1q f5e7 g8h8 f1f8 a2g8 f8g8,1220
0BnmS,1r4k1/3q1pp1/5R1p/p7/2P3P1/P1Q1b2P/1B1p2B1/1R5K b - - 0 28,d2d1q b1d1 d7d1 f6f1,1824
0Btl1,5r1k/2P3bp/pN4p1/8/Q1P1p3/5rPq/2R2P2/1R4K1 w - - 0 34,c7c8q f3g3 f2g3 g7d4 c2f2 d4f2,2088
0BvIN,Q7/6pk/2p3pp/2Qp4/3P4/2P2PqP/1r4P1/R6K w - - 1 36,c5f8 g3g2,888
0Cqox,1r2kb2/3q1pp1/2p2n2/2Pp2p1/1B1Q4/P1N1P3/2P1KPp1/R6R b - - 0 18,g2h1q d4e5 d7e6 e5b8,1775
0DD0A,2N1NQN1/8/4k2P/8/r1K5/1p1n1Q2/P1P2P2/R1B1qB1R w - - 1 33,c4b3 a4b4 f8b4 e1b4,1911
0DOTr,8/6pk/4N2p/3p1Q2/q1bPp3/7P/6PK/q7 b - - 3 49,h7h8 f5f8 h8h7 f8g7,1150
0DRMx,2Q4Q/kp6/p3N3/5p2/4pP2/1P1n1qP1/P5KP/R7 w - - 2 32,g2h3 d3f2 h3h4 f3g4,1164
0E9Wt,8/2P1Q2p/b5pk/p4p2/4p3/1P4PK/P6P/7q w - - 4 45,c7c8q a6f1 h3h4 h1h2,1622
0EI9O,2Q2nrk/q5p1/3P3p/1p1Qb3/1P6/6P1/7P/2R3K1 w - - 0 41,d5c5 e5d4 g1g2 d4c5,1111
0EJpw,2nr3k/pb1P1Qp1/1p5p/2p1P3/2P1q3/8/4B1PP/4RR1K w - - 1 30,d7c8q e4g2,1084
0ENJ7,8/PQ4p1/4prk1/8/3P3p/2P3nP/1P4P1/6K1 w - - 0 41,a7a8q f6f1 g1h2 f1h1,1103
0EjQX,2r2rk1/5p1p/p3bQpP/8/P4R2/3Bq3/6P1/2q2R1K b - - 0 28,c1f1 d3f1 e3c3 f4d4 c3d4 f6d4,2152
0EkWm,4bn2/2P4r/Q3p2k/4Np1P/2B2P1q/p5R1/3r3P/6RK w - - 1 40,c7c8q d2h2,704
0GQja,4Q3/6p1/p1P2Nk1/1p2p3/1P6/P3RP2/3K4/6qq b - - 3 44,g6h6 e8h8 h6g6 h8h1,2379
0HIMn,8/8/4ppk1/1p1p2r1/2r5/4Q2Q/8/7K w - - 6 41,h3e6 c4h4 e3h3 h4h3 e6h3 g5h5,1336
0HJN1,2rq2k1/R5p1/4p2p/8/1P6/P4QPP/3p2BK/8 b - - 1 37,d2d1q f3f7 g8h8 f7g7,1149
0HReS,4Q2k/8/p7/7P/8/5P2/PPP5/1K1R1qq1 b - - 5 40,h8h7 e8g6 g1g6 h5g6 h7g6 d1f1,1811
0I7Pc,3r2k1/5q2/2b3pq/4Q2p/P3PP1P/2B3P1/6BK/8 b - - 0 41,h6f8 e5h8,747
0I8yN,r2r2Q1/pp2k2B/1qp2p2/8/2P5/b3PP2/P7/2K3RQ w - - 1 33,c1c2 b6b2,958
0IknS,Q7/2P2bpk/1p2p2p/1P1p1p1n/7q/5P2/6PP/R4B1K w - - 1 36,c7c8q h5g3 h1g1 h4d4,1316
0Ipka,4r2k/1PQ3p1/2P2n1p/3p1N2/8/1q6/3p1PPP/5RK1 b - - 3 38,d2d1q c7g7,1264
0Isdi,5rkQ/p1p1qp2/5R2/2p2b2/1P6/7P/PBP3PK/3q4 b - - 1 26,g8h8 f6h6 h8g8 h6h8,1496
0JPHv,5k2/5rbQ/2p1p3/3pP3/7P/2K4B/q2NP3/1q1R2R1 b - - 1 35,b1c2 h7c2 g7e5 c3d3 a2a6 d2c4 f7f4 d3d2 a6c4 c2c4,2720
0KGKG,Q3n2k/5p2/7p/3p4/Q1pP2p1/2P1qB1K/6P1/5n2 w - - 0 45,h3g4 e3g5 g4h3 g5g3,1581
0L8X5,8/P4k2/1p1b2p1/1Pp5/3pQP1q/3P2p1/5P2/2B3K1 w - - 4 49,a7a8q h4h2 g1f1 h2f2,1023
0LmZf,r5k1/3q1p2/3p4/2pP1Pq1/1pP3R1/1P3Q2/2B2PK1/8 b - - 1 41,g5g4 f3g4 g8f8 g4h4 f7f6 h4h8,2200
0MQyh,2r5/P4p2/4pk2/3pb1p1/3nb3/Q5Pp/2P2P1P/1R3RK1 w - - 2 29,a7a8q d4e2,1232
0Mecu,5r1k/2P5/4Qp2/6p1/4P1P1/5P1K/5qP1/3R4 w - - 0 48,c7c8q f2h4,1068
0Mkev,8/3Q2k1/3p2qp/3P1B2/8/7P/7K/1q6 b - - 1 57,g6f7 d7f7 g7f7 f5b1,1379
0MwbE,6Q1/8/6pk/1q5p/5P2/8/1p3PK1/8 b - - 1 59,b2b1q g8h8,877
0N9Vq,6k1/P4p1p/1Q4p1/8/8/1N3qP1/2r2n1P/4R1K1 w - - 0 39,a7a8q f3a8 b6f2 c2f2,1231
0NyAD,8/p5pk/1p1q2rp/5Q2/4Q3/8/1P2R1PK/8 w - - 7 39,g2g3 d6g3 h2h1 g3g1,1006
0O0Ro,1R6/2p1P1pk/p5pp/8/3P2P1/q6P/2p3K1/4R3 b - - 2 39,c2c1q e7e8q a3a2 g2g1,2596
0OGKl,6k1/8/2p2KPR/2P1Bp2/4b3/8/q7/3q4 b - - 1 60,a2a6 h6h8 g8h8 f6f7,1796
0ONdN,4Q1rk/4P1pp/4R3/p7/8/8/1pq3PP/5R1K b - - 0 38,b2b1q e8g8 h8g8 e7e8q,1187
0PA3w,5B2/8/2Q2p2/4p3/2k1P3/3p4/3R1K2/qq6 b - - 8 64,c4b3 c6b5 b3c3 f8b4,1747
0PJ9x,8/3r1k1p/2b5/P2q1p1N/8/2Q4P/1p4P1/6RK b - - 0 45,b2b1q c3g7 f7e8 h5f6,2026
0PpLa,3Q4/2P3pk/4p2p/3p1p2/2q5/5P2/6PP/5R1K w - - 1 43,c7c8q c4f1,509
0PsFn,8/6bk/3p2p1/3Qp3/2PpP3/5q2/8/Q4K2 w - - 4 48,f1e1 f3h1 e1f2 h1a1,1591
0Q9Op,8/3q3k/3r2P1/p3Qp1B/4bP1K/8/PR6/3q4 b - - 0 51,h7h6 e5h8 d7h7 h8h7,1144
0QNqi,r1b2k1r/pp3pp1/4P2p/3pQ2P/8/3B1R2/q1p2P2/1RB1K1N1 b - - 0 21,c2b1q e5d6 f8g8 e6f7,2135
0QU5w,1k2rr2/p1p3q1/BpQb1n2/4p3/8/P1P1BP1p/1P4p1/R4RK1 b - - 1 35,g2f1q g1f1 g7g2 f1e1 g2f3 c6f3,1469
0Qcwh,3N3k/p1P2Q2/8/5Pp1/1P4P1/5KPq/P6r/5R2 w - - 3 43,c7c8q h3g2 f3e3 g2d2 e3e4 h2e2 e4f3 e2e3,2305
0QuZf,2r3k1/5ppp/3P4/8/4P3/1Q3R1P/p2q2P1/2r2BK1 b - - 0 32,a2a1q b3f7 g8h8 f7f8 c8f8 f3f8,1473
0RANQ,Q1b2k1r/p4pp1/4p2p/8/Q7/2q1pN2/P4PPP/R3KB1R w KQ - 0 14,f3d2 c3d2,1220
0ROni,3Q4/5pk1/6pp/p1Q1r3/Pp1p4/1P2q3/6PP/2R4K w - - 0 39,c5d4 e3c1 d4g1 e5e1,1428
0RYaN,2r5/pk6/1p4p1/1Pb1B2p/4qP2/2P3P1/QP2p3/K1R5 b - - 0 38,e2e1q a2a6 b7a8 a6c8,1472
0Ryon,6k1/6pp/4Q1b1/3p2b1/3q3P/6N1/6K1/1q6 b - - 0 44,g6f7 e6c8 g5d8 c8d8 f7e8 d8e8,999
0SURq,8/6p1/4p2p/2q4k/6n1/4PQP1/5PP1/1Q4K1 w - - 5 40,b1e4 c5c1 f3d1 c1d1,918
0Smta,2R4Q/5pp1/5qkp/p2P3P/1b1p1P2/3P2P1/4P1K1/q7 b - - 0 41,g6f5 c8c6 a1a2 h8c8 f6e6 c6e6,2516
0SyJi,5k1r/r2q1Pb1/p7/2Q5/1p2N1P1/6Pp/PP1N1R1K/4q3 b - - 2 40,d7e7 c5c8 e7d8 c8d8,923
0TdD6,4Rrk1/3P1pb1/p6r/1p1Q3p/1q6/8/PPP2PPP/1K2R3 w - - 3 26,d7d8q b4b2,1236
0TwfH,8/1Q5p/2p1Q1pk/4Ppq1/3Pp3/4P1br/6P1/2B2RK1 w - - 0 36,f1f5 h3h1 g1h1 g5h4 h1g1 h4h2 g1f1 h2h1 f1e2 h1e1,2036
0U0bm,1Q6/p1r5/4P2k/7p/P4Pn1/2q5/3K4/3R1Q2 w - - 1 50,d2e2 c3e3,1086
0UxIi,8/7P/3k1pQ1/4q3/3p4/4p1P1/2r2PK1/8 w - - 0 42,h7h8q e5d5 g2h3 d5h1 h3g4 h1h8,2232
0V1lg,8/PQ3nk1/8/6pK/5r2/7p/2P5/8 w - - 0 51,a7a8q f4h4,1104
0WCLY,1Q6/5p1k/6p1/8/8/2Q3PK/8/5q2 w - - 1 50,h3g4 f1f5 g4h4 f5h5,1169
0WSQq,2k1r1Q1/2b2R2/n7/p2p2Q1/P3p3/8/1q4KP/2R5 w - - 1 40,g2h1 b2h2,1316
0XAE7,1Q6/5ppk/3Qp2p/3p1q2/8/2P5/r4rPP/2R2RK1 w - - 1 31,f1f2 f5f2 g1h1 f2g2,897
0XVnY,6Q1/pp5p/5R1k/4P3/1P1nq2P/P5PK/8/3q4 b - - 5 44,e4g6 f6g6 h7g6 g8h8,1457
0Xe1W,6k1/3q4/4p3/p3N3/1p2KP2/P1q3R1/8/8 b - - 4 51,g8f8 e5d7 f8e7 g3c3,1621
0Xj6O,2Q5/6kp/6p1/8/5Q2/1P3PKP/3p2P1/4q3 w - - 1 47,g3g4 h7h5 g4g5 e1e7 f4f6 e7f6,1536
0Y16X,4Q3/5Qnk/3p2p1/1Pp2p2/8/2P1NK1P/4q3/2n5 w - - 5 41,f3f4 c1d3 f4g5 e2h5 g5f6 h5h4,1361
0Y917,5rk1/3R1ppp/4p3/2Q5/5P2/2n4P/3pq1PK/R7 b - - 3 35,d2d1q c5f8 g8f8 a1a8,1503
0Yspc,8/1P3p1k/4p3/3p4/3P2q1/2Q2bPp/5P2/2R3K1 w - - 0 36,b7b8q h3h2 g1h2 g4h5 h2g1 h5h1,1236
0Z7dl,1k1r4/1pB5/8/5q1p/7P/2R3P1/6PK/1q6 b - - 0 32,b8a7 c3a3 f5a5 a3a5,772
0ZP2W,5rk1/pPQ4p/7r/4p1q1/1P1Pp1b1/4P1B1/P4Pp1/R2R2K1 w - - 3 27,b7b8q h6h1 g1g2 g4f3,1423
0ZexQ,2Q5/pp1P1ppk/8/2p1P3/5PKp/P7/1P6/4q3 w - - 2 40,d7d8q e1g3 g4h5 g7g6,1547
0Zles,r3k2r/5p2/1p2pBp1/4P3/8/pPqPKQ1P/n1p3P1/5R1R b kq - 3 25,c2c1q f1c1 e8g8 c1c3,1040
0Zqmo,7r/qP2k3/PR1p2r1/2p1p3/Q1Pnp1p1/3P2Pp/5P1P/R6K w - - 1 46,b7b8q h8b8 b6b8 a7b8,1375
0Ztu5,7k/1p6/3p4/3Pp1q1/1P2Q3/1B5p/P1K1Rrp1/R7 b - - 9 39,g2g1q a1g1 f2e2 e4e2 g5g1 e2h5 h8g7 h5h3,1422
0aJnf,4Q3/6bk/4N1p1/3P4/6PK/5P1P/5B2/1q5q b - - 0 51,h1f3 e6g5 h7h6 g5f3,1222
0aV7e,1k5r/1pp5/p4p2/P1PP4/1P2P2P/4Qn1q/5Kp1/R3R3 b - - 2 30,g2g1q e1g1 h3h4 f2f3,1377
0beko,7Q/8/6p1/6kp/1P3P2/P5P1/6K1/2qq4 b - - 0 50,g5f5 h8e5 f5g4 e5e6,1129
0bqNX,7k/ppb1q1pp/8/4p3/1PB1P2P/P4QPK/3p4/2r2R2 b - - 7 34,d2d1q f3f8 e7f8 f1f8,1013
0cHvi,4rk2/1pr3bQ/6PP/2qp1pP1/P2n4/1BB5/P3p3/1KR5 b - - 0 37,e2e1q h6g7 c7g7 h7h8,1642
0cqoD,2r4Q/ppr1kpR1/4p3/7P/4b3/8/PP1Q1P2/1K6 w - - 1 29,b1a1 c7c1 d2c1 c8c1,645
0dABu,7r/Pp6/1nk5/3r2pp/2pqB3/R3p1B1/2Q3PP/7K w - - 4 31,a7a8q h8a8 a3a8 b6a8,2266
0dCLs,7k/5qp1/7p/4R3/2P5/2Q2pPP/PP2pP1K/3r4 b - - 2 43,e2e1q e5e1 d1e1 c3e1,1154
0dFL6,5r1k/p1P5/2N1p3/4Pq2/6p1/2P3Q1/4R1KP/8 w - - 0 44,c7c8q f5f1,1358
0dMXp,8/PQ2p1k1/8/7p/5pp1/7P/4q1P1/6bK w - - 0 47,a7a8q g1d4 b7b1 f4f3 g2f3 g4g3 a8g8 g7g8,2468
0dxeR,8/7p/4N1k1/3R1Qp1/6P1/7P/7K/q1q5 b - - 2 58,g6h6 f5f8 h6g6 f8e8 g6h6 e8h5,2487
0eVvX,8/7p/2P2Qp1/7k/7P/5P2/1pq3PK/8 b - - 2 55,b2b1q f6g5,1074
0f12L,r1b4r/p1p1P1p1/k2q4/Ppp3p1/8/8/1Pp1Q1PP/R1B2R1K w - - 1 24,e7e8q d6h2,930
0fGAP,7k/5r1p/6p1/p1N1pnP1/2p1Q3/P1P2P2/1P2p1KR/3q4 b - - 1 43,e2e1q e4a8 d1d8 a8d8 f7f8 d8f8,994
0fL0y,5r1k/pp2R2p/4B1p1/2p1P2P/8/4P1Q1/Pq4P1/2q1B1K1 b - - 0 24,b2e2 e7h7 h8h7 g3g6 h7h8 g6h6,1475
0fTsF,8/2P2p1p/6pk/8/3Q3P/PP4PK/3p4/4q3 w - - 3 44,c7c8q e1h1 h3g4 d2d1q d4d1 f7f5 c8f5 g6f5 g4f5 h1d1,2611
0gHLO,8/Q1P3pp/3rpk2/5p2/8/R3PPPK/P4q1P/8 w - - 1 31,c7c8q f2f1 h3h4 g7g5 h4h5 f1h3,1224
0gZzK,3r1bk1/1p3N2/p3P1p1/P1Pq3p/1P5P/6P1/3p3K/2RQR3 b - - 0 38,d2e1q d1d5 e1e2 d5g2 d8d2 g2e2,2394
0gxiw,8/2q2K2/4Qp1k/5Qp1/4P2p/8/8/8 w - - 36 78,f7f6 c7g7,873
0h3d9,Rr5k/6pp/3pB2r/3Pp1Q1/4Pp2/1q2bPP1/2p3KP/R7 b - - 4 38,c2c1q g5d8 b8d8 a8d8,1651
0hAE9,8/8/p2Q3k/5Pp1/3P4/1P6/Pq2r3/2q3RK b - - 1 42,h6h5 d6g6 h5h4 g6h6,1420
0hYuy,2Q5/1Q2p1bk/3p3p/5p2/3q4/7n/6P1/6K1 w - - 0 33,g1h2 g7e5 g2g3 d4g1 h2h3 g1g3,2337
0hakQ,r1b2Bk1/5ppp/2p1p3/1p1nQ3/3P4/2qB1N1P/p4PP1/5RK1 b - - 0 25,a2a1q e5g7,789
0hnyE,5bk1/1P1Qpp1p/3p2p1/8/3P4/4PN2/5PPP/r1n2RK1 w - - 0 25,b7b8q c1e2 g1h1 a1f1 f3g1 f1g1,876
0i7Tp,1R1Q4/5ppk/p1q1p2p/2b1P3/2p2BK1/2P2PP1/4P2P/5q2 b - - 5 34,h6h5 g4h4 f1f3 e2f3 c6f3 h2h3,2685
0iRAq,8/pb3P2/k1pQ4/qp6/3P4/2b4P/2P1R3/1K1R4 w - - 1 34,f7f8q a5a1,778
0iZ6e,3r1r1k/p1P3p1/3P2q1/5p2/2Q5/B4p1P/P6K/5R2 w - - 0 36,c7d8q g6g2,1130
0ie2L,6k1/6p1/3R2P1/pq6/5P2/6PK/1p6/8 b - - 0 56,b2b1q d6d8 b5e8 d8e8,510
0j0sZ,Q7/2p2pkp/3p3r/7q/2P5/1P4rp/5P1K/R4R1Q w - - 1 32,f2g3 h5e2 h2g1 h3h2 h1h2 e2h2,1241
0j1FG,8/5pbk/5N1p/1P4p1/P7/4Q1PK/2q5/3q4 b - - 1 49,h7h8 e3e8 g7f8 e8f8,586
0jZCy,2r3k1/5p1p/4p1pQ/1rqbP1B1/7R/6P1/1pp2P1P/4R1K1 b - - 1 31,c2c1q h6h7 g8f8 h7h8,1637
0jeO3,6Q1/p3Q3/1k1p4/2p1p3/8/3Pn3/PPK3P1/4q3 w - - 1 32,c2b3 e1b4,1201
0jtIt,4n1k1/5p1p/2Q3p1/8/2p5/4B1PP/1p2qP1K/8 b - - 3 38,b2b1q c6e8 g8g7 e3d4 f7f6 e8e2,1618
0kCG8,2RQ4/6pk/8/pN2Pp2/P3bP1p/1q5r/1N1Q1RPK/8 w - - 0 44,g2h3 b3g3,948
0kMYr,kr2Q3/pp3Qpp/8/8/5P2/q7/2P5/2K5 w - - 2 43,c1d1 a3d6 d1c1 b8e8 f7e8 d6b8,2150
0knqG,5K2/5pPk/2q1q3/7p/p7/7P/8/8 b - - 8 54,c6d7 g7g8q h7h6 g8g7,1117
0ksQJ,8/Q2bk1R1/2q1p3/4P3/5p2/5P2/6PP/2q2RK1 b - - 1 40,e7f8 g7d7 c6c5 a7c5,1801
0lIKC,6k1/pp3p2/6PQ/2p5/2P3p1/1P4P1/P1p3BK/3q4 b - - 2 37,c2c1q h6h7 g8f8 h7f7,959
0lN7A,r3r2k/3NpQb1/2q1Pp1R/p5p1/3P4/4B1P1/P4K2/2q4R b - - 0 37,g7h6 h1h6,942
0lnBs,rnbq1rk1/4ppB1/p2p1np1/2pP3P/1p2P3/8/PPPQNp2/R2K1BNR b - - 1 14,f2g1q d2h6 g1f1 h1f1,1426
0lz0F,2Q5/7k/3N4/pP1P2p1/2Qb4/6P1/4p1PP/6K1 w - - 0 46,c4d4 e2e1q,684
0mXEy,4Q3/2r3qk/3p2n1/3Pp3/4P2p/4QP2/4KP2/8 w - - 3 42,e3g5 g6f4 g5f4 e5f4,1295
0n14x,1r3k2/4b3/5pQ1/4p1P1/1P2P3/r7/2p3P1/1q2BR1K b - - 0 32,c2c1q g5f6 a3h3 g2h3 b1e4 g6e4,1925
0ng2q,2r5/p2kP2p/2p3p1/2Qp4/q2P4/1r6/1PR2nPP/1NK1R3 w - - 0 27,e7e8q c8e8 e1e7 e8e7 c5e7 d7e7,716
0o1R5,8/8/p1b1p3/kpQpPp2/2pP1P2/2P1B3/PPK1Q1R1/r6q w - - 5 42,c5c6 h1b1 c2d2 b1b2,1664
0o4VB,Q1bqr1k1/p1p2pp1/5n1p/b7/8/PQ2PN2/2B2PPP/q1B2RK1 w - - 0 15,c1b2 a1f1 g1f1 c8a6 f1g1 d8a8,1395
0o5R6,kr1r4/1pR4R/p7/8/2Q5/PP1P4/KP4qp/8 b - - 1 35,h2h1q c4a6 b7a6 c7a7,1378
0oVwb,1Q5k/3qNpp1/6p1/8/3P4/1p2P1PP/1P3PK1/r2q4 b - - 3 45,h8h7 b8g8 h7h6 g8h8 h6g5 h8h4,1399
0oqru,Qnb4r/p3kppp/8/1Bb1P3/5P1q/8/PPP4P/RNBQK1Nn w Q - 0 12,e1f1 h4f2,907
0pppV,1Q1R4/2Q3pk/2b2r1p/2P5/7P/4P1P1/5P2/r5K1 w - - 1 43,g1h2 a1h1,1511
0pqXI,1Qbq3r/5k2/pP2p3/3pPp2/3P4/2P2Np1/4BbP1/1R1Q2K1 w - - 0 30,g1f1 h8h1 f3g1 h1g1,808
0qGBY,rn5k/pP1b2p1/6B1/4R1p1/3P1q2/1QP5/P4PPP/6K1 w - - 1 22,b7a8q f4c1 b3d1 c1d1 e5e1 d1e1,1215
0qR1F,5b1r/1PR5/p2p1k2/1P1Pp1rn/P3Pp2/5P1b/4NKBq/3QB1R1 w - - 1 37,b7b8q g5g2 g1g2 h2g2,1295
0qUZG,k1n3r1/pRP5/Pp6/3pP3/1Q1P4/3N4/1KP3p1/7q b - - 0 46,g2g1q b7b8,853
0qjaM,2r2rk1/5q2/p3p1p1/Pp1pB1Q1/5P2/6R1/2p3PK/8 b - - 1 30,c2c1q g5h6 c1g1 h2g1 f7a7 g1h2,2081
0qneV,5N1k/5Q1p/pr6/2p5/8/q3P3/2p2PPP/5RK1 b - - 0 29,c2c1q f7h7,970
0rDNA,3rr1k1/2p2Rp1/7p/1P3Q2/4B3/2q3P1/2R2PKP/3q4 b - - 1 34,c3e1 f7g7 g8g7 c2c7 d8d7 c7d7 d1d7 f5d7,2287
0rJwa,2r2b1k/3P3p/p4qp1/1pNQ4/4R3/1P6/6PP/R6K w - - 0 37,d7c8q f6a1 d5d1 a1d1 e4e1 d1e1,1039
0reUN,1Q3rk1/r7/1R6/3qp2p/3p2pn/3P2p1/4PP2/1Q3RK1 w - - 0 32,b1b3 g3f2 g1h2 d5b3 b6b3 f8b8 b3b8 g8g7,2664
0rf4s,2RQ4/5pkp/6pb/2q1p3/4P3/8/2p2PPP/5NK1 b - - 0 39,c2c1q d8h8,1575
