2B1k3/1P1R3P/8/8/6B1/8/6P1/7K b - - 0 62,e8f8
8/8/4Q3/4K3/1k1B4/8/1B6/8 b - - 12 64,b4b5
7B/5kB1/5P2/1P4R1/8/8/8/2K5 w - - 1 56,g7h6
8/5pkp/6p1/1K2p3/8/4b3/7P/4b3 b - - 0 56,e5e4
B7/8/1n5p/3BPkp1/8/5N2/1P3KPP/8 b - - 0 34,g5g4
6k1/1K6/1b6/1q6/3b4/2n5/5n2/8 w - - 12 68,b7c8
8/1BP5/8/4R3/1k5p/3B3n/3K4/8 w - - 0 56,e5h5
1BR5/8/3Bk3/N7/8/2K5/8/8 b - - 0 65,e6f7
1NB5/8/2R5/3R4/1k6/5BK1/8/8 w - - 13 60,g3h4
3k3N/1P1B4/4B3/4QP2/5N2/2P5/5PK1/8 w - - 3 59,h8f7
8/8/6K1/3QB3/8/4B3/2k3P1/8 b - - 4 62,c2b1
8/6pk/8/1pK5/8/8/1r5r/b1b5 w - - 4 49,c5c6
B1R4N/8/8/8/6B1/2kNQ1R1/7K/8 b - - 16 95,c3b3
5B2/8/8/1Q2N2k/3NP2P/3P4/1B6/4K2R w - - 1 43,h1g1
8/7p/Bb4pk/3B4/P4P2/8/6PP/7K w - - 0 48,h2h4
1q6/1b2kp2/1K2b2p/7P/8/8/8/6n1 w - - 0 63,b6b5
2B5/1B6/6k1/4Q3/4K3/8/8/8 w - - 24 81,e5h8
1k6/2p2p2/8/3b2p1/8/1PKB4/2P2q2/7b b - - 1 42,f2f6
kB2R1N1/8/P6Q/3K4/7R/8/3B4/8 w - - 1 64,h6c6
2R5/5BK1/8/3B4/2Pk4/8/8/8 w - - 9 83,g7f6
2B5/3B4/7p/4bPpP/6k1/8/8/3K4 w - - 0 92,d7e8
8/8/8/3b4/2b2k2/4p3/pK6/3R2R1 b - - 1 79,e3e2
B1B5/8/8/5Pkp/2N3p1/8/6PP/5RK1 w - - 5 43,f5f6
1k6/2p2p2/4b3/2P5/4q3/KP6/6p1/7b b - - 0 50,g2g1r
N1N5/8/8/6kP/B7/8/B5K1/2R4R w - - 1 71,h5h6
8/K4k2/1p6/p4n2/P7/8/8/4b1bq b - - 3 45,h1h8
8/8/8/4B3/3NKB2/4P3/5k2/8 b - - 6 71,f2e1
8/8/8/6n1/R4bk1/8/1r6/K1b5 b - - 3 65,b2b8
2r5/8/8/1K5q/1n2k3/8/3b1r2/6b1 w - - 6 59,b5b6
8/8/3b4/K1k5/3b4/8/1r6/8 w - - 42 96,a5a6
8/1b1r1p2/1P6/1K4k1/8/8/8/7b w - - 0 44,b5c5
2q5/K7/5pp1/4p1k1/8/8/8/5b1b b - - 3 65,h1g2
8/2K5/3p4/2k1b3/1p6/8/8/b7 w - - 0 70,c7d8
r1B2rk1/ppq3pp/5b2/2p2p2/2P5/1P3NP1/P3P1BP/3Q1RK1 b - - 0 19,a8c8
Q1K5/8/4k3/b3b3/8/8/6q1/8 b - - 0 62,g2g8
8/5pp1/7p/pK4kP/Pb6/8/8/2b5 b - - 3 43,c1d2
8/1Bk5/B7/8/1KN5/1P6/2P5/8 w - - 1 60,c2c3
8/8/4k3/6R1/PB3P2/2B5/1PP5/2K5 w - - 3 40,g5g4
1k1K4/r1p3pp/6b1/p2b1r2/B2P1Q1P/N4PP1/P7/2R1B3 b - - 2 40,f5f4
4B1B1/8/p7/1p2k3/4P3/2N5/PP6/2K5 w - - 4 45,b2b4
4Q2B/8/5B2/6P1/1k3P2/2p5/2K5/8 w - - 0 50,g5g6
2B5/3B4/5k1p/2b2PpP/4K1P1/8/8/8 b - - 45 82,c5b4
8/2K5/8/8/2B5/4QB2/6k1/8 b - - 20 79,g2h3
8/8/2b1p3/5ppb/3k4/5n1K/8/8 b - - 1 68,h5g6
r5k1/p1p5/p2p4/3q4/2r5/6p1/K7/3b3b w - - 0 45,a2b2
3B1B2/7P/8/6K1/6P1/6k1/8/8 w - - 1 58,h7h8q
RB5Q/2B5/6R1/N2k4/8/8/1P6/6K1 b - - 0 49,d5e4
B7/3R3B/2P5/8/p3pP1p/k6P/2n5/K7 w - - 2 83,a1b1
8/8/4b3/2Kbr2k/2n2p2/8/8/8 w - - 0 85,c5d4
N7/8/3R4/3B3k/2P5/1B6/7P/5RK1 w - - 7 57,h2h4
8/8/1P2R3/2kB4/2B3p1/8/6PP/6K1 b - - 0 49,g4g3
8/8/3r4/1K6/1b6/1k6/1b6/8 b - - 6 69,b4e1
8/8/1b6/4pkpp/5p1b/5K1P/8/8 w - - 2 64,f3g2
1k6/2p1K1p1/6b1/p2r3p/2bP3P/N1R2PP1/PrB5/2Q1B3 b - - 7 46,b2b7
8/8/p4b2/2p1n3/P3K3/8/5k2/4b3 w - - 0 53,e4f5
8/8/6pK/5b1p/7P/2k5/8/3b2q1 b - - 5 59,g6g5
4B3/2k2B2/5K1P/8/2P5/8/8/8 w - - 1 64,h6h7
1N6/8/B7/8/8/3R1BK1/6R1/2k5 b - - 24 65,c1b1
3B1B2/7P/8/5KP1/8/7k/8/8 b - - 0 59,h3g3
r4bnr/p5pp/8/8/8/6K1/1P3PPP/n2kb2q w - - 6 32,g3h3
8/8/6p1/5bKp/7P/2k5/8/3b2q1 w - - 4 59,g5h6
B1B5/3K2P1/8/8/6kP/8/7P/8 w - - 1 57,g7g8q
3B4/2B2rR1/5p1p/6pk/1p2P3/1P3n2/K4P1P/8 w - - 0 42,g7f7
1B6/8/2PBk3/N7/8/2K5/8/8 b - - 0 63,e6f7
3K2k1/b7/3n4/1q2b3/8/2n5/8/8 b - - 21 72,g8h8
4k1B1/p3n3/1p2pR2/1Pp1p3/2Pp4/P2B4/2K2P2/8 b - - 0 41,e7g8
7B/8/8/5k2/8/5K2/8/B5RN w - - 15 79,g1g8
8/8/8/3PB2p/4KB2/4P3/6k1/8 w - - 0 65,f4h6
8/6P1/3B4/1pB5/kP1P4/P7/5K2/8 b - - 2 54,a4b3
2B2b2/3B4/5k1p/5PpP/6P1/5K2/8/8 b - - 35 77,f6e7
8/4PQ2/2k5/3pB1p1/1B1P2P1/8/PP6/R5K1 b - - 2 42,c6d7
5B1B/8/3N4/8/2Q3K1/k7/8/8 w - - 3 67,h8b2
r7/7P/8/6K1/8/8/1b1k1r2/4b3 w - - 4 64,h7h8r
8/5K2/8/5k2/3nq3/2b5/8/6b1 b - - 5 56,g1h2
7B/1K6/8/6B1/8/1k6/1Q6/8 b - - 3 65,b3c4
8/8/5k1p/7P/8/8/4b2K/1b3q2 b - - 11 62,f6g7
2k5/2p2K2/1p6/8/3r4/2b5/2n5/6bn b - - 11 64,h1g3
B2b4/2R4B/2P4n/p7/k3pP1p/2R4P/8/K7 w - - 6 77,c7b7
8/8/3k4/5b2/1K2q3/8/4n3/7b w - - 22 71,b4b5
5r2/8/2Kpk3/8/8/8/5n1p/2bnb3 b - - 3 65,h2h1r
8/5kb1/2p2b2/8/6pp/8/3K4/8 w - - 0 51,d2e3
8/8/4B3/KBP5/P7/2k5/8/8 w - - 1 69,c5c6
8/3K4/3p4/1pk1b3/8/8/8/b7 w - - 0 69,d7e8
8/8/8/8/8/3b1kp1/3Bp3/2q2bK1 w - - 0 62,g1h1
7B/2Q5/5K2/8/5B2/3k4/R7/8 w - - 4 83,h8g7
4B3/8/1p6/pkpB1R2/8/3P3P/PrP3PK/8 b - - 0 38,b5b4
7B/8/5BQ1/6P1/k1p2P2/8/2K5/8 b - - 0 48,c4c3
8/8/4B2Q/8/6B1/8/1PP3pk/2K5 b - - 2 41,h2g3
8/8/8/4b3/7p/1r5K/2k5/4b3 w - - 8 64,h3g4
8/8/5Kp1/5b1p/6bP/5k2/8/6q1 b - - 13 63,g6g5
2k5/4KB2/7p/1p6/4P1P1/8/7r/b3b3 b - - 1 39,e1b4
8/BrB5/5ppR/3kp2p/7P/5P2/6PK/1b6 w - - 4 48,a7b6
B7/2R4B/2P4n/p5b1/k3pP1p/2R4P/8/K7 b - - 5 76,g5f6
8/6k1/6B1/5P1K/4B3/8/8/8 w - - 1 66,e4h1
r3k1nB/pp1n3p/4pb2/q1p5/5B2/2NP1NP1/PPP4P/R2QK2R b KQq - 0 14,f6h8
2B5/3B2b1/5k1p/5PpP/6P1/5K2/8/8 w - - 36 78,f3e4
6k1/3b1p1p/2b4P/7P/7r/5n1K/8/8 w - - 4 44,h3g2
2q1k3/2bnb3/5n2/7r/r2K4/8/8/8 w - - 28 106,d4e3
8/8/pK6/P7/1nk5/2b5/8/4b3 w - - 7 62,b6c7
B1B5/8/8/P7/1N1k4/8/2P5/2K5 b - - 0 63,d4c5
rnbq1knr/ppp2Bpp/3p4/8/2Q1P3/5N2/PP3PPP/RbB1K2R w KQ - 0 9,f7g8
8/6b1/8/6b1/4p3/K7/4pk2/n7 b - - 13 92,g7d4
7B/2B5/3P4/1pk5/1p6/pK6/P7/8 w - - 0 45,d6d7
2B5/3B2p1/8/N7/5k2/3n3p/5P1P/7K b - - 4 48,d3f2
2B5/1B6/5k2/4Q3/3K4/8/8/8 b - - 21 79,f6g6
3B4/8/5P2/2b4p/k7/8/6PB/7K b - - 2 54,a4b5
N7/8/8/2P3k1/B7/8/B6P/3R1RK1 w - - 3 62,h2h4
K7/8/8/6b1/3k4/2b2B2/3n3p/1rn5 w - - 4 69,f3c6
8/1b4pk/5p2/6r1/b4K2/8/8/8 b - - 3 63,g5g6
8/8/8/Kp6/p5k1/8/4r3/5b1b b - - 3 53,h1g2
8/4k3/8/7p/5q2/5b2/5K2/7b w - - 0 70,f2g1
8/8/6p1/5bKp/4k1bP/8/8/6q1 b - - 11 62,g4h3
8/1k3B2/7p/3KP3/1p4P1/b7/7r/b7 w - - 0 43,d5e4
8/8/1k3B2/8/4QBK1/4P3/8/8 w - - 1 63,g4h5
8/8/1b6/5kpp/4pp1b/7P/8/5K2 b - - 1 65,h4g3
8/6k1/3K1p2/4r2p/1P4b1/8/2R5/5b2 b - - 0 51,f1b5
k3R1N1/8/P6Q/3K4/7R/8/3B3B/8 b - - 2 64,a8a7
8/8/8/P7/3b4/5K2/3k2N1/4b3 w - - 0 55,f3e4
RB5Q/2B5/6R1/N1k5/8/8/1P6/6K1 w - - 1 50,h8h7
1B1k2N1/8/7Q/P2K4/7R/4R3/3B4/8 b - - 4 61,d8d7
2B2k2/1p1q4/6bN/6P1/8/5B2/5K2/r7 b - - 0 46,a1a2
4k2b/8/3p4/8/5n2/5K1q/8/1nb5 w - - 4 74,f3f2
6k1/3N1pp1/7p/p3P3/2K2P2/5BP1/7P/1b1b4 b - - 0 39,d1f3
6k1/8/8/7p/8/r5p1/4bK2/r4b2 w - - 0 65,f2g1
2B5/8/2K5/pB6/PkP5/8/8/8 b - - 4 64,b4c3
4k2b/7q/3p4/8/5n2/8/4K3/1nb5 w - - 2 73,e2f3
8/5pkp/1p4pb/4p3/p7/b7/4K2P/8 w - - 0 52,e2f3
7b/6b1/2pk4/8/8/8/8/1K6 w - - 2 54,b1c2
1NB5/R7/1R6/4k3/8/5BK1/8/8 b - - 6 56,e5d4
8/8/8/8/1K6/8/2k2b2/3r2b1 b - - 19 84,g1h2
7B/1k3P2/3R4/2B5/1P6/2P2K2/8/8 w - - 1 59,h8g7
8/8/8/1K6/3b4/3k4/8/2r3b1 b - - 25 87,g1h2
1B6/B6R/5ppp/3kp3/7P/1r3P2/b5PK/8 b - - 2 45,h6h5
8/8/8/b3p1b1/8/K7/4pk2/n7 b - - 1 77,g5h4
8/8/p3p3/2Kb2k1/1R6/8/5R2/1b6 b - - 1 58,b1f5
2B5/8/1K6/pB6/P1P5/k7/8/8 b - - 6 65,a3b4
4k1N1/5NR1/5K2/3B4/8/7B/8/8 w - - 23 65,h3g4
8/8/4p3/b7/5b2/K3p3/5k2/n7 w - - 8 70,a3a4
7b/6b1/8/8/8/2p5/k7/2K5 w - - 6 61,c1c2
4k3/2b5/3bqn2/2n4r/r7/8/5K2/8 b - - 35 109,h5h8
4k3/2b5/3bq3/2n4r/r3n3/8/4K3/8 b - - 37 110,h5h8
8/8/3k4/1p6/pK5r/1p6/4b3/5b2 w - - 4 59,b4c3
5b2/5B2/8/8/8/p7/K7/b1k5 b - - 16 78,a1b2
B7/8/8/2k4p/7P/1R5B/P1P2PP1/6K1 b - - 0 41,c5d6
8/8/8/4KN2/B2N4/2k5/8/3B4 b - - 10 82,c3c4
5k2/5p1N/4p1p1/4Pn1b/b4P1P/3K4/r7/8 b - - 2 53,f8g7
8/2K5/8/k1B5/8/1Q2B3/8/8 w - - 67 92,e3h6
r7/8/8/3q4/1n2k3/8/1K1b1r2/6b1 b - - 11 61,g1h2
8/8/2b5/5ppb/3kp3/5nK1/8/8 w - - 0 70,g3h3
8/8/8/4k1K1/1n6/8/3b4/4bq2 w - - 14 77,g5h5
8/6pk/8/1p1K4/8/8/1r5r/b1b5 b - - 5 49,b5b4
r5k1/8/6p1/5K2/8/2nr2q1/2n5/b5b1 w - - 0 53,f5f6
8/8/4kB2/4B1P1/2P2P2/1K6/8/8 w - - 3 55,g5g6
8/6B1/7B/R2Q4/2k3K1/8/8/8 b - - 10 73,c4b4
2r1r2B/p7/b4k2/4p1R1/8/2Pp4/PP1B4/2K4R b - - 0 36,e8h8
2B5/3B4/5k1p/5PpP/4K1P1/2b5/8/8 w - - 2 61,c8b7
3B4/2B2R2/5pp1/4pk1p/7P/3r1P2/6PK/1b6 w - - 14 53,f7f6
8/2K5/4B3/3B4/5k1Q/8/8/8 b - - 8 73,f4e5
8/2K5/8/8/2kB4/4B3/1Q6/8 b - - 72 94,c4d5
8/8/1k3K2/2pB4/1pB1N3/1P6/2P5/8 b - - 6 49,b6a7
8/7K/8/6q1/5k2/8/8/2b1b3 b - - 63 96,g5h5
2B5/3Bb3/5k1p/5PpP/4K1P1/8/8/8 b - - 33 76,e7a3
4r3/5k1p/8/4b2p/3nK3/6P1/5P2/b7 b - - 3 33,e5g3
8/8/2rk4/1Kp5/8/8/8/b5b1 b - - 0 55,d6d5
8/3k1B2/8/4R3/2K1B3/8/8/8 b - - 26 71,d7d8
7B/Q7/5BP1/8/2k5/8/P4K2/8 b - - 0 52,c4d5
7r/3B4/6R1/4p2p/5P1k/4KB2/8/6R1 b - - 2 51,h8h7
5BR1/7p/p7/1pBp3k/8/1pP3b1/P1P3P1/5R1K w - - 1 29,h1g1
6k1/bK3p2/5b2/8/8/3q4/8/7r b - - 5 61,h1h8
8/4K3/8/1k6/1n6/2b5/8/q3b3 w - - 0 70,e7f8
N1N5/8/7P/5k2/B7/8/B5K1/2R4R w - - 1 72,h6h7
r1b1kbB1/pp1p1pq1/2n1p3/8/8/2P1P3/PP1N1PP1/R2QKBN1 b Qq - 0 12,g7g8
4Q2B/8/5BP1/8/5P2/k1p5/2K5/8 w - - 1 51,h8g7
8/4k2p/4p3/8/5q2/7p/7K/3b1b2 w - - 2 60,h2h1
5rk1/6b1/p5p1/2n2p2/3n4/8/2r5/b5K1 w - - 0 49,g1h1
B7/8/2B5/2k5/8/1R6/1PP5/2K5 w - - 7 62,c1d1
5b2/1k6/8/B6p/RP6/8/5PPB/6K1 b - - 2 49,b7c6
2Bb4/3B4/5k1p/5PpP/6P1/5K2/8/8 b - - 23 71,d8c7
r5k1/pp2qpp1/1p3n1p/1P6/4PPb1/1QP3P1/P4K1P/RN1b3R w - - 0 19,h1d1
B1B5/8/8/7p/2N1R1pk/5P2/6PP/6K1 b - - 0 38,h4g5
2k5/2p1K3/1p6/8/8/prb5/8/6bn b - - 1 57,g1f2
2b5/p4k2/nrB1p1p1/2P1P3/5PPP/8/1pq5/R2bK3 b - - 3 39,g6g5
8/5B2/1p6/2b5/8/p7/K2k4/6b1 b - - 9 60,g1e3
7B/Q5P1/5B2/8/2k5/8/P4K2/8 w - - 1 54,g7g8r
7b/8/2rk4/8/8/8/K1p5/6b1 w - - 2 59,a2b3
1B1kN1R1/7R/8/8/1P6/2P4P/5PPB/6K1 w - - 3 54,h7h6
r7/7P/6K1/8/8/8/1b1k1r2/4b3 b - - 5 64,f2f8
8/6pk/8/3K4/8/1p6/6rr/b1b5 b - - 3 52,h7g6
5B2/6R1/k2B4/P4K2/8/8/6P1/8 w - - 1 69,g2g4
8/8/8/7N/6Bn/4k2B/7P/7K w - - 3 56,g4f5
8/8/8/8/3B1B2/2PK3k/8/6Q1 b - - 2 69,h3h4
8/3k3K/8/6P1/3B4/2P1B3/P4P2/8 w - - 1 62,g5g6
6Q1/5B1B/8/5RR1/7P/5K2/7k/8 b - - 0 73,h2h3
2B5/3B4/2K2k1p/5PpP/1b4P1/8/8/8 b - - 5 62,b4e1
5N1B/4k1K1/6R1/6P1/2pB4/2P5/8/8 b - - 0 52,e7e8
1qB3k1/5p1p/6p1/4p3/p7/3B1Q1P/5PPK/8 b - - 0 31,e5e4
2b1b3/8/8/8/8/5k2/1q6/4K3 w - - 26 76,e1f1
8/8/4R1B1/8/6k1/4K3/B7/8 w - - 9 63,g6h7
8/5pk1/2b1p1p1/4P1Nb/5P1n/6r1/8/4K3 b - - 1 58,g3g2
6k1/6P1/2p5/2Kb4/8/6q1/7p/5b2 b - - 1 57,h2h1r
6B1/8/Q1N5/1K6/8/P7/5k2/5B2 w - - 0 57,f1h3
8/8/4p3/3b4/2bK4/6k1/pR6/R7 b - - 9 74,g3f3
4k3/2b5/3bqn2/2n4r/r7/5K2/8/8 w - - 34 109,f3g2
4b3/8/8/1pB2kB1/1P5P/8/5K2/8 b - - 4 67,e8h5
1B5B/8/8/5K2/8/4P3/1PP2P2/2k5 w - - 3 63,e3e4
8/7p/B5pk/3B4/5P2/6P1/7P/4b2K w - - 1 50,a6c8
8/6K1/4k3/5q2/1n6/8/3b4/4b3 w - - 18 79,g7h8
4b3/8/1K6/1p4Bk/1P5P/8/5B2/8 w - - 23 77,g5d8
8/8/4b3/3br2k/2nK4/8/5p2/8 b - - 1 87,h5h6
8/6p1/7p/pK4kP/Pb3p2/8/8/2b5 b - - 1 45,f4f3
8/8/5k1p/7P/4b2K/5q2/4b3/8 b - - 15 64,f3h5
R2Q4/5kp1/8/1p5b/1P2P3/2K5/P7/5b2 w - - 0 43,d8f8
r1q3k1/2p4p/2np2pb/2n5/3p4/bpr5/6K1/8 b - - 3 39,h6g7
8/8/8/3K4/8/1k6/4QB2/2B5 b - - 26 71,b3c3
8/6B1/8/R2Q2B1/6K1/8/2k5/8 w - - 19 78,g7h8
8/2R4N/8/5P2/7P/3pB3/2bP3K/2kb2Q1 b - - 0 47,c1b2
8/8/8/8/1PB3B1/8/2P3k1/2K5 w - - 0 46,b4b5
8/7K/5q2/4k3/8/8/8/2b1b3 b - - 55 92,f6h6
4Q2B/4B3/6P1/5P2/8/2p5/2K5/k7 w - - 3 53,h8g7
N1N5/8/8/7k/B7/7P/B5K1/2R4R w - - 1 69,h3h4
rnbq1knr/pppp3p/8/8/8/1P6/P4PPP/RNBbKBNR w KQ - 0 8,e1d1
8/8/8/2B1k3/6QP/4N3/1PPB2P1/6K1 w - - 3 45,h4h5
1qb5/4kp2/2K1b2p/7P/8/5n2/8/8 b - - 5 65,f7f6
8/8/8/8/3b4/6rp/2k5/4b2K w - - 2 67,h1h2
2q5/8/1K3pp1/4p1k1/8/8/8/5b1b w - - 2 65,b6a7
8/8/1PP5/K6p/4kb2/7P/8/6b1 b - - 0 54,g1b6
8/2k5/2N1Q3/8/4N3/3B1B2/5K2/8 w - - 23 85,f3h5
6Q1/1P6/8/2R5/3B4/8/1P2kB2/7K b - - 0 53,e2f3
8/kB6/BP6/K2N4/2P5/8/8/8 b - - 0 66,a7b8
r1q3k1/1pp4p/2np2pb/2n5/3p4/2r5/8/b3K3 w - - 0 34,e1f2
8/8/1B6/3K4/8/1k6/1B2Q3/8 w - - 35 76,e2h5
2k4B/6P1/3R4/4BK2/P3P3/5N2/P7/7R w - - 1 44,h1h7
8/K7/8/6bB/3k4/2b1n3/7p/1rn5 w - - 0 67,h5f3
5k2/R5B1/1P6/4B1P1/4P3/3PK3/8/8 b - - 18 59,f8g8
2r5/8/8/K7/4k3/3n4/5r1p/2b3b1 w - - 0 55,a5b6
B2b4/3R3B/2P5/p4n2/4pP1p/1k5P/8/K7 w - - 0 79,d7d8
2R4N/kN6/Q7/3B4/6B1/6R1/7K/8 b - - 28 101,a7a6
8/7K/3k4/6P1/3B4/2P1B3/P4P2/8 b - - 0 61,d6e7
6k1/6bp/1p6/5p2/8/5q2/7K/b7 b - - 1 42,h7h6
5B2/6k1/1p4p1/p1p2b2/2Pp1B2/3P1P2/PPKNr3/5R2 b - - 0 36,g7f8
8/5B2/2k3B1/8/3KR3/8/8/8 w - - 19 68,g6h7
4B1BN/8/8/4K3/3Q4/8/2k5/8 b - - 4 72,c2c1
8/2k5/8/8/3NN3/3BQB2/5K2/8 w - - 15 81,f3h5
8/8/8/8/8/2bk3K/1n1b4/6r1 b - - 43 99,g1h1
2B5/8/2R2N2/4p1kB/6P1/3PP3/4KP1P/8 w - - 1 45,h5f7
8/8/4k3/5b2/2K5/6n1/8/q6b b - - 9 64,h1g2
4N3/8/8/B2k4/P2B4/8/1P6/2KR4 w - - 1 53,d4g1
8/7k/4K3/8/8/8/r7/1nb1b1nr w - - 8 65,e6f6
B1B5/3K4/6P1/7k/7P/8/7P/8 w - - 1 56,g6g7
6RB/8/8/3k4/3B4/2P5/2K2PP1/8 b - - 0 46,d5e6
6k1/5p2/4p2p/3p2pb/8/7r/p4K2/1b6 w - - 4 50,f2g2
8/8/5k1p/7P/4q3/8/4bK2/1b6 b - - 7 60,f6g7
7b/6b1/8/8/8/3K4/8/1kq5 w - - 0 65,d3e4
3B1NNB/1P6/8/8/8/4Q3/1k6/5R1K b - - 0 68,b2c2
k7/2K3p1/b5b1/2p4p/3P1QPP/p1R2PB1/P1N5/8 b - - 1 54,h5g4
7B/8/5k2/1p2bp2/2p5/2P1BQP1/5P2/5K2 b - - 0 45,f6e6
7B/5N2/4Q3/3P4/3k4/8/3B1K2/R7 b - - 0 64,d4d3
B4NB1/2k5/8/8/8/4Q3/5KP1/8 w - - 3 66,g8h7
1Q4RB/8/3P1K2/3k4/5B2/8/8/8 b - - 0 70,d5e4
8/8/2kr1pR1/5P1P/1p6/1P3Kb1/P7/2b5 b - - 1 55,g3e5
8/4K3/1k6/2pB4/1pB1N3/1P6/2P5/8 w - - 9 51,e4g5
2B5/8/5k1P/pB6/P7/3K4/8/8 w - - 0 58,b5e8
5B2/4B3/8/3K4/k5P1/8/8/1R6 w - - 10 75,g4g5
8/6K1/6p1/5b1p/3k3P/8/8/3b2q1 b - - 7 60,g6g5
6Q1/5B1B/8/5RR1/8/5K1P/7k/8 w - - 11 73,h7g6
2n5/5k1p/2p3pb/8/8/2K5/8/b7 w - - 0 41,c3c4
RB5Q/2B5/6R1/N7/1k6/8/8/6K1 w - - 0 51,h8h7
8/8/4p3/6b1/4p3/6k1/3bK3/n7 w - - 10 64,e2d1
6k1/4p3/8/7p/4p3/8/3bK3/n1b5 w - - 4 53,e2f2
2k3nr/2p2pp1/3bp3/2p5/6n1/4K3/8/b7 w - - 4 39,e3e4
8/7p/1b6/p7/4N2k/4n1p1/P2K4/6b1 b - - 1 42,h7h5
8/8/7k/4K3/8/8/8/rnb1b1nr w - - 12 67,e5f6
rn2k2r/5ppp/8/8/3n4/4p3/1q6/b1b3K1 b kq - 1 54,h8g8
8/8/1kb5/p7/8/1p3b2/3K4/7n b - - 1 58,a5a4
1q5n/6nb/6br/2k5/K7/8/8/8 b - - 11 78,h8f7
B1B5/6p1/8/N7/5k2/7p/5PnP/7K b - - 0 46,g2e1
5B1B/8/3N4/8/2P3K1/3k4/8/8 w - - 1 62,h8f6
2B5/8/8/2k1K3/2N5/1B6/2N5/8 b - - 38 96,c5b5
8/B7/3k4/3p1R2/3B4/5K2/8/8 b - - 6 55,d6e6
7B/8/5BQ1/6P1/1kp2P2/8/2K5/8 w - - 1 49,g6g7
8/6B1/1Bk3p1/2p4p/2P5/6P1/PP5P/R5K1 w - - 3 45,a1d1
8/8/4p3/pb1bK3/5R2/6k1/1R6/8 b - - 1 66,b5c6
5B2/8/8/5K2/2k5/pp2Q3/8/2B5 w - - 0 55,f8a3
8/4K3/8/5k2/3n4/2b5/8/1q4b1 b - - 3 55,g1h2
8/6p1/7p/pK4kP/Pb6/5p2/8/2b5 w - - 0 46,b5c6
4r3/8/8/1p6/pK4k1/8/8/5b1b b - - 5 54,h1g2
8/8/8/8/1b1b4/1kp5/8/r2K4 w - - 0 64,d1e2
r3k3/2p4p/2P1p3/n7/P7/5r2/1p3bp1/3Kb3 b - - 1 32,h7h6
8/5pk1/2b1p1p1/4P1Pb/8/5n2/5K2/8 b - - 2 60,f3d2
2r5/8/8/p4b2/Pk6/3r4/8/4Kb2 b - - 4 56,f5h7
1N6/8/B7/8/8/3R1BK1/6R1/1k6 w - - 25 66,g3h4
7B/8/4k3/4B3/8/5K2/4N3/6R1 w - - 9 76,h8f6
b7/1b2k3/8/8/5q2/8/4K2p/8 b - - 5 75,h2h1r
6K1/8/8/4kq2/8/8/8/2b1b3 w - - 52 91,g8h8
8/2B2k2/3R4/N2K4/1B6/8/8/8 w - - 17 74,d6h6
1k3r2/8/8/5p2/5K2/8/3n4/brb5 w - - 0 50,f4g3
r5k1/6p1/8/8/6K1/2nr2q1/2n5/b5b1 w - - 2 52,g4h5
4k2r/1K1n1ppp/3b1n2/8/8/5P2/5r2/b7 w k - 4 32,f3f4
8/8/6k1/4K3/6b1/8/5q2/7b w - - 0 63,e5d6
