PuzzleId,Rating,PGN,Solution,FEN,Moves
02HQm,612,1. e4 c6 2. d4 d5 3. Nc3 e6 4. h4 f5 5. exf5 exf5 6. Nf3 Nf6 7. Bd3 Be7 8. Bf4 O-O 9. O-O Ne4 10. h5 Nd7 11. h6 g6 12. Ne5 Nxe5 13. Bxe5 Bd6 14. Qc1 Nxc3 15. bxc3 Bxe5 16. dxe5 Qe7 17. Qf4 Be6 18. Rae1 Rfd8 19. c4 d4 20. Rb1 c5 21. Qg3 b6 22. f4 Bc8 23. Rbe1 Bb7 24. Bxf5 Rf8 25. Be4 Bxe4 26. Rxe4 Qe6 27. f5 Rxf5 28. Rxf5 Qxf5 29. Rf4 Qe6 30. Qf3 Re8 31. Qb7 Qe7 32. Qd5+ Qe6 33. Qb7 Qe7 34. Qc6 Qxe5 35. g3 Qe1+ 36. Kg2 Re2+ 37. Kh3 Qh1+ 38. Qxh1 Re5 39. Qf3 Re8 40. Qd5+ Kh8 41. Qe5+,Rxe5 Rf8#,4r2k/p6p/1p4pP/2p1Q3/2Pp1R2/6PK/P1P5/8 b - - 6 41,e8e5 f4f8
036Ir,1064,1. d4 e5 2. c4 exd4 3. Qxd4 Nf6 4. Bg5 Nc6 5. Qd2 Be7 6. Nc3 O-O 7. O-O-O d6 8. Nf3 Bf5 9. e3 a6 10. Bd3 Bg4 11. h3 Bxf3 12. gxf3 Nd7 13. Bf4 Nde5 14. Be2 Qd7 15. Rdg1 Kh8 16. Nd5 Bh4 17. Rg2 Qf5 18. e4 Qd7 19. Rhg1 g6 20. Bg5 Bxg5 21. Qxg5 f6 22. Nxf6 Rxf6 23. Qxf6+ Qg7 24. Qxg7+ Kxg7 25. f4 Nf7 26. f5 Nd4 27. Bd3 c5 28. fxg6 Ne5 29. Rg5 Nxd3+ 30. Kd2 Nf4 31. gxh7+ Kxh7 32. Rg7+ Kh6 33. Rxb7 Re8 34. Rg4 Rf8 35. Rd7 d5 36. cxd5 Ng6 37. Rd6 Rg8 38. f4 Kh5 39. Rg5+ Kh6 40. h4 Nf3+ 41. Ke3 Nxg5 42. hxg5+ Kh5 43. f5 Ne5 44. Kf4 Nd3+ 45. Ke3 Nxb2,g6 Nc4+ Kf4 Nxd6,6r1/8/p2R4/2pP1PPk/4P3/4K3/Pn6/8 w - - 0 46,g5g6 b2c4 e3f4 c4d6
037Iw,1933,1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qe3 b6 5. Nc3 Bc5 6. Qg3 Nf6 7. Bd2 d5 8. exd5 Nxd5 9. O-O-O Be6 10. Qxg7 Bd4 11. Qg3 Be5 12. f4 Bf6 13. Bb5 Qd7 14. Nf3 O-O-O 15. Rhe1 Rhg8 16. Qf2 Kb7 17. Ne5 Bxe5 18. fxe5 a6 19. Bd3 Ncb4 20. Bxh7 Nxc3 21. Bxc3 Nxa2+,Kb1 Qxd1+ Rxd1 Rxd1#,3r2r1/1kpq1p1B/pp2b3/4P3/8/2B5/nPP2QPP/2KRR3 w - - 0 22,c1b1 d7d1 e1d1 d8d1
03EVA,1877,1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 Nc6 6. Bg5 dxc4 7. Bxc4 e6 8. Nf3 Be7 9. O-O O-O 10. Re1 a6 11. a4 h6 12. Bf4 Bd6 13. Ne5 Ne7 14. Qf3 Nf5 15. Rad1 Bb4 16. g4 Nh4 17. Qg3 Ng6 18. Nxg6 fxg6 19. Bxe6+ Bxe6 20. Rxe6 Bxc3 21. bxc3 Qd7 22. Rde1 Rae8 23. Rxe8 Nxe8 24. Be5 b5 25. axb5 axb5 26. h3 Nf6 27. Qd3 Nd5 28. Qxg6 Nxc3 29. Re3 Nd5 30. Rb3 b4,Kg2 Nf4+ Bxf4 Qd5+ Kh2 Qxb3,5rk1/3q2p1/6Qp/3nB3/1p1P2P1/1R5P/5P2/6K1 w - - 0 31,g1g2 d5f4 e5f4 d7d5 g2h2 d5b3
03P7w,687,1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d3 c5 5. Bd2 Qd8 6. Nf3 Nc6 7. Be3 e5 8. Be2 Nf6 9. O-O Be7 10. h3 Be6 11. a3 O-O 12. Re1 a5 13. Na4 Nd7 14. Qd2 b5 15. Nc3 Nd4 16. Nxd4 cxd4 17. Bxd4 exd4 18. Nxb5 Qb6 19. a4 Bb4 20. c3 dxc3 21. bxc3 Bc5 22. Bf3 Rac8 23. d4 Bd6 24. d5 Bf5 25. Be4 Bxe4 26. Rxe4 Rfe8 27. Rae1 Rxe4 28. Rxe4 Nc5 29. Re1 Nxa4 30. Nxd6 Qxd6 31. Rc1 Qf6 32. c4 Nc5 33. Rb1 a4 34. f3 Ra8 35. Qb4 Qd6 36. Qa3 Qc7 37. Rb5 Rc8 38. Qb4 Nd3 39. Qxa4 Qxc4 40. Qxc4,Rxc4 Rb8+ Rc8 Rxc8#,2r3k1/5ppp/8/1R1P4/2Q5/3n1P1P/6P1/6K1 b - - 0 40,c8c4 b5b8 c4c8 b8c8
03PNb,866,1. Nf3 d5 2. g3 c5 3. Bg2 Nc6 4. O-O e5 5. d3 Nf6 6. Nbd2 Bd6 7. c4 d4 8. Rb1 a5 9. b3 O-O 10. a3 h6 11. Ne4 Nxe4 12. dxe4 f5 13. Nd2 f4 14. Nf3 fxg3 15. hxg3 Bg4 16. Bd2 Ra6 17. Qc2 h5 18. Qd3 Be7 19. Rfe1 h4 20. Nxh4 Bxh4 21. gxh4 Qxh4 22. Qg3 Qxg3 23. fxg3 Rb6 24. Bg5 Kh7 25. Rf1 Rxf1+ 26. Bxf1 Kg6 27. Bd2 Kf6 28. Kf2 a4 29. b4 cxb4 30. axb4 Na5 31. c5 Nc4 32. cxb6 Nxd2 33. Ra1 Nxe4+ 34. Ke1 Nc3 35. Kd2 e4 36. e3 Ke5 37. Ba6 Bc8 38. Bc4 Bd7 39. Bf1 Nd5 40. Ba6 dxe3+ 41. Ke1 Bc6 42. b5 bxa6 43. bxc6 Nxb6 44. Rb1 Nd5 45. Ra1 Kd6 46. Rxa4 Kxc6 47. Rxa6+ Kc5 48. Ra4 Nc3 49. Ra7 g5 50. Rg7 Kd4 51. Rxg5 e2 52. Rg8 Ke3 53. Rb8 Nd5 54. Rb3+ Kd4 55. Kxe2 Ke5 56. Rb5 Kd4,g4 Nc3+ Ke1 Nxb5,8/8/8/1R1n4/3kp3/6P1/4K3/8 w - - 3 57,g3g4 d5c3 e2e1 c3b5
03XCu,2446,1. e4 b6 2. d3 Bb7 3. a3 e6 4. h3 Be7 5. Nf3 Nf6 6. Nc3 O-O 7. g4 h6 8. Bg2 d6 9. b4 Nbd7 10. Bb2 c5 11. b5 d5 12. exd5 exd5 13. a4 d4 14. Ne2 Bd6 15. Bc1 Ne5 16. Ng3 Nxf3+ 17. Bxf3 Re8+ 18. Kf1 Bxf3 19. Qxf3 Bxg3 20. Qxg3 Qd5 21. Rh2 Re6 22. Bf4 Rae8 23. Bd2 Nh7 24. Re1 Rxe1+ 25. Bxe1 Ng5 26. f4 Nf3 27. Re2 Rxe2 28. Kxe2 Nxe1 29. Kxe1 Qh1+ 30. Kd2 Qa1 31. g5 hxg5 32. fxg5 Qxa4 33. h4 Qxb5 34. h5 Qd7 35. Qb8+ Kh7 36. Qf4 a5 37. Qe4+ Kg8 38. g6 fxg6 39. hxg6 Kf8 40. Qf4+ Ke7 41. Qe5+ Qe6 42. Qxg7+ Kd6 43. Qf8+ Kd5 44. g7 Qe3+ 45. Kd1 Qg1+ 46. Ke2 Qe3+ 47. Kf1 Qc1+ 48. Kg2 Qxc2+ 49. Qf2 Qxd3 50. g8=Q+ Kc6 51. Qf6+ Kb5 52. Qe8+ Kb4 53. Qe1+ Qc3 54. Qb1+ Ka4 55. Qc6+ Ka3 56. Qd5 Qb2+ 57. Qxb2+ Kxb2 58. Kf2 a4 59. Qc4 a3 60. Ke2 a2 61. Qb5+ Kc3 62. Qa4 Kb2 63. Qb5+ Kc3 64. Qd3+ Kb2 65. Qd2+ Kb3 66. Qc1 b5 67. Kd2 c4 68. Qc2+ Ka3 69. Qc1+ Kb3 70. Qa1 c3+,Kc1 b4 Kd1 Ka3 Qc1+ Ka4 Ke2 b3 Qg1 Ka3 Qxd4 a1=Q Qa7+ Kb2,8/8/8/1p6/3p4/1kp5/p2K4/Q7 w - - 0 71,d2c1 b5b4 c1d1 b3a3 a1c1 a3a4 d1e2 b4b3 c1g1 a4a3 g1d4 a2a1q d4a7 a3b2
03cY6,1662,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Nxd4 5. Qxd4 d6 6. Nc3 Nf6 7. Bc4 Be7 8. O-O O-O 9. b3 Be6 10. Bxe6 fxe6 11. e5 dxe5 12. Qxe5 Qd7 13. Bb2 Ng4 14. Qe4 Nf6 15. Qxb7 Bd6 16. h3 Rfb8 17. Qf3 Rf8 18. Qe2 Qc6 19. Qxe6+ Kh8,Ne2 Bh2+ Kxh2 Qxe6,r4r1k/p1p3pp/2qbQn2/8/8/1PN4P/PBP2PP1/R4RK1 w - - 1 20,c3e2 d6h2 g1h2 c6e6
043WP,709,1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Bd3 a6 6. Ne2 e5 7. O-O Be7 8. Nbc3 Nbd7 9. f4 b5 10. a3 Bb7 11. f5 Rc8 12. Ng3 Rxc3 13. bxc3 O-O 14. Qe2 Nc5 15. Bb2 Na4 16. Rab1 Qc7 17. c4 Nxb2 18. Rxb2 Qc5+ 19. Kh1 Qxa3 20. Rb3 Qc5 21. cxb5 a5 22. Ra1 Bd8 23. Rbb1 Bb6 24. Nh5 Nxh5 25. Qxh5 f6 26. Qe2 Rc8 27. h3 Qd4 28. Rd1 Rc3 29. Kh2 a4 30. Ra2 a3 31. Rda1 Bc5 32. Rb1 d5 33. Re1 h5 34. Raa1 h4 35. Qg4 Qf2 36. Re2 Qd4 37. Ree1 Rxd3 38. cxd3 Qxd3 39. exd5 Qxd5 40. Red1 Bd4 41. Rxa3 Qxb5 42. Rxd4 exd4 43. Qxd4 Qxf5 44. Qxh4 Qd5 45. Qg3 Bc6 46. Rd3 Qe4 47. Re3 Qd5 48. h4 f5 49. Re7 Qd4 50. Rc7 Be4 51. Re7 Qb2 52. h5 f4 53. Qg4 f3,Qxe4 Qxg2#,6k1/4R1p1/8/7P/4b1Q1/5p2/1q4PK/8 w - - 0 54,g4e4 b2g2
04k4Q,915,1. d4 d5 2. Nf3 Nf6 3. c4 c6 4. Nc3 Bf5 5. cxd5 Nxd5 6. Qb3 Nxc3 7. bxc3 Qb6 8. g3 Qxb3 9. axb3 a6 10. Bg2 e6 11. Ne5 Nd7 12. Nc4 Be7 13. O-O O-O 14. e4 Bg6 15. Bf4 Rfd8 16. Na5 Ra7 17. Rfd1 Nf6 18. f3 Rc8 19. c4 b6 20. c5 bxa5 21. Rxa5 Bd8 22. Ra4 a5 23. b4 Bc7 24. Rda1 Bxf4 25. gxf4 Nh5 26. Rxa5 Rxa5 27. bxa5 Nxf4 28. Bf1 f6 29. a6 Ra8 30. Rb1 Be8 31. Rb7 e5 32. Bc4+ Kf8 33. d5 cxd5 34. exd5 Nxd5 35. Bxd5 Rxa6 36. Rc7 Ra5 37. Kf2 h6 38. Kg3 g6 39. h4 g5 40. Kg4 h5+ 41. Kf5 gxh4 42. Kxf6 h3 43. Kxe5 h2 44. f4 Ra1 45. c6 h1=Q 46. Bxh1 Rxh1 47. Rc8 Re1+ 48. Kf6 Rc1 49. c7 Rc6+ 50. Kg5 Ke7 51. f5,Kd7 Rd8+ Kxc7 Rxe8,2R1b3/2P1k3/2r5/5PKp/8/8/8/8 b - - 0 51,e7d7 c8d8 d7c7 d8e8
054Pk,880,1. e4 e5 2. Bc4 Nf6 3. d3 Bc5 4. c3 d5 5. exd5 Nxd5 6. Qf3 c6 7. Be3 Bxe3 8. fxe3 Be6 9. Nd2 O-O 10. O-O-O Nb6 11. Bb3 Qxd3 12. Ne4 Qb5 13. Bxe6 fxe6 14. Qg4 Nc4 15. Qxe6+ Kh8 16. b3 Nxe3 17. Nd6 Qa5 18. Nf7+ Kg8 19. Nh6+ Kh8 20. Qg8+,Rxg8 Nf7#,rn3rQk/pp4pp/2p4N/q3p3/8/1PP1n3/P5PP/2KR2NR b - - 7 20,f8g8 h6f7
05J0M,1562,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. O-O h6 5. Re1 d6 6. h3 Nf6 7. d3 g5 8. Nxg5 hxg5 9. Bxg5 Rg8 10. Bh4 Bxh3 11. Kh2 Qd7 12. Bxf6 Bxg2 13. Qh5 Bxf2 14. Re2,Nd4 Rxf2 Nf3+ Rxf3 Bxf3 Qxf3,r3k1r1/pppq1p2/2np1B2/4p2Q/2B1P3/3P4/PPP1RbbK/RN6 b q - 1 14,c6d4 e2f2 d4f3 f2f3 g2f3 h5f3
05XxH,854,1. Nf3 d5 2. e3 Nc6 3. d4 Bg4 4. c4 e5 5. cxd5 Qxd5 6. Nc3 Bb4 7. Be2 e4 8. Nd2 Bxc3 9. Bxg4 Ba5 10. O-O Nf6 11. Be2 O-O 12. f3 exf3 13. Bxf3 Qe6 14. Nb3 Bb6 15. Kh1 Qe7 16. Bxc6 bxc6 17. Qf3 c5 18. Qc6 Qd6 19. Qb5 Ng4,dxc5 Qxh2#,r4rk1/p1p2ppp/1b1q4/1Qp5/3P2n1/1N2P3/PP4PP/R1B2R1K w - - 4 20,d4c5 d6h2
05cMs,1890,1. d4 e6 2. c4 d5 3. Nc3 Nf6 4. Nf3 c5 5. e3 Nc6 6. a3 cxd4 7. exd4 dxc4 8. Bxc4 a6 9. O-O b5 10. Be2 Be7 11. Bg5 Nd5 12. Nxd5 Qxd5 13. Bxe7 Kxe7 14. Rc1 Rd8 15. Rc5 Qd6 16. Qd2 Nxd4 17. Qg5+ Kf8 18. Nxd4 Qxd4 19. Rc3 Bb7 20. Rd3 Qf6 21. Qxf6 gxf6 22. Rfd1 Rxd3 23. Rxd3 Be4 24. Rd2 Ke7 25. f3 Bd5 26. Kf2 Rd8 27. h4 Bb3 28. Rxd8 Kxd8 29. h5 h6 30. g4 Kc7 31. Ke3 Kd6 32. Kd4 e5+ 33. Kc3 Bd5 34. b4 e4 35. fxe4 Bxe4 36. Kd4,f5 g5 Ke7 gxh6,8/5p2/p2k1p1p/1p5P/1P1Kb1P1/P7/4B3/8 b - - 1 36,f6f5 g4g5 d6e7 g5h6
05nzJ,1869,1. e4 e6 2. d4 d5 3. e5 c5 4. c3 cxd4 5. cxd4 Nc6 6. Nf3 Qb6 7. Bd3 Bd7 8. Bc2 Nb4 9. Nc3 Nxc2+ 10. Qxc2 Rc8 11. O-O Bb4 12. Bd2 Bb5 13. Rfc1 Ne7 14. a3 Bxc3 15. Bxc3 Nf5 16. Qd2 O-O 17. g4 Ne7 18. Bb4 Rfe8 19. Rxc8 Nxc8 20. Rc1 Bc6 21. Bc5 Qd8 22. Kg2 a6 23. Bb4 f6 24. h3 f5 25. gxf5 exf5 26. Qf4 g6 27. Rg1 Nb6 28. b3 Nd7 29. Ng5 h6 30. Nf3 a5 31. Bd6 Nf8 32. Qxh6 Re6 33. Ng5 Rxd6 34. exd6 Qxd6 35. a4 b5 36. axb5 Bxb5 37. Nf3 Qb4 38. Qe3 Bd7 39. Ne5 Qe7 40. Kh1 Be8 41. Qf3 Qe6 42. h4 Nd7 43. Re1 Qb6 44. Qe3 Nxe5 45. Qxe5 Bf7 46. Qe3 Qf6 47. Qf4 Kg7 48. Kg2 Qb6 49. Re3 Qf6 50. Rg3 Kh7 51. Rc3 Qb6 52. Qe3 Qf6 53. Kg3 Qd6+ 54. Qe5 Qb4 55. Re3 Kg8 56. Qe7 Qxd4 57. Qd8+ Kg7,Qxa5 f4+ Kf3 fxe3,3Q4/5bk1/6p1/p2p1p2/3q3P/1P2R1K1/5P2/8 w - - 2 58,d8a5 f5f4 g3f3 f4e3
05y4s,1132,1. d4 Nf6 2. Bf4 g6 3. Nf3 Bg7 4. e3 O-O 5. Bd3 d6 6. O-O Nbd7 7. Nbd2 e5 8. dxe5 dxe5 9. Nxe5 Nd5 10. Nxd7 Qxd7 11. c3 Nxf4 12. Bc2 Nxg2 13. Kxg2 Qh3+ 14. Kh1 Be5 15. Nf3 Bg4 16. Nxe5 Bxd1 17. Raxd1 Rfe8 18. Nd7 Rad8 19. Nf6+ Kg7 20. Nxe8+ Rxe8 21. Rg1 Qf3+ 22. Rg2 Qe2 23. Bb3 Qxb2 24. Rd7 Qb1+ 25. Rg1 Qe4+ 26. Rg2 Re7 27. Rxe7 Qxe7 28. h3 Qe4 29. Kh2 Qe5+ 30. Rg3 Qxc3 31. Rf3 Qe5+ 32. Kg2 f5 33. Rf4 b6 34. Rd4 Kf6 35. Rd7,h5 Rf7+ Kg5 f4+ Qxf4 exf4+,8/p1pR3p/1p3kp1/4qp2/8/1B2P2P/P4PK1/8 b - - 3 35,h7h5 d7f7 f6g5 f2f4 e5f4 e3f4
05ya7,1412,1. e4 c6 2. Bc4 d5 3. exd5 cxd5 4. Bb3 Nc6 5. Nf3 Nf6 6. O-O Bg4 7. Nc3 e6 8. d3 Be7 9. Bg5 h6 10. Bxf6 Bxf6 11. h3 Bh5 12. Re1 O-O 13. Qd2 d4 14. Ne4 Be7 15. Qf4 Bg6 16. a3 Re8 17. Ne5 Nxe5 18. Qxe5 Qb6 19. Qg3 f5 20. Nd2 Bf7 21. f3 Bd6 22. Qf2 e5 23. Nc4 Bxc4 24. Bxc4+ Kf8 25. Bb3 g5 26. h4 Kg7 27. hxg5 hxg5 28. g4 f4 29. Qe2 Qc7 30. Qe4 Rh8 31. Kf2 Rh2+ 32. Kg1 Rh6,Re2 Rah8 Rg2 Rh1+ Kf2 Rxa1,r7/ppq3k1/3b3r/4p1p1/3pQpP1/PB1P1P2/1PP5/R3R1K1 w - - 8 33,e1e2 a8h8 e2g2 h6h1 g1f2 h1a1
065V8,888,1. d4 c5 2. d5 d6 3. e4 e5 4. c4 f5 5. f3 f4 6. Nc3 Qh4+ 7. Kd2 a6 8. Qe2 Bd7 9. b3 b5 10. Qe1 Qd8 11. Bb2 b4 12. Nce2 Nf6 13. g4 g5 14. h4 gxh4 15. Qxh4 Be7 16. Qf2 Bxg4,fxg4 Nxe4+ Kc2 Nxf2,rn1qk2r/4b2p/p2p1n2/2pPp3/1pP1Ppb1/1P3P2/PB1KNQ2/R4BNR w kq - 0 17,f3g4 f6e4 d2c2 e4f2
069rS,895,1. c4 e5 2. Nc3 b6 3. Nf3 d6 4. e4 Bb7 5. d3 Nc6 6. Be3 Qd7 7. a3 g6 8. Nd5 f5 9. Bg5 Bg7 10. b4 h6 11. Be3 fxe4 12. dxe4 Nge7 13. Qd2 Nxd5 14. exd5 Ne7 15. Bd3 Nf5 16. Bxf5 gxf5 17. Nh4 f4 18. Ng6 fxe3 19. Qxe3 Rg8 20. f4 O-O-O 21. f5,Qxf5 Ne7+ Kb8 Nxf5,2kr2r1/pbpq2b1/1p1p2Np/3PpP2/1PP5/P3Q3/6PP/R3K2R b KQ - 0 21,d7f5 g6e7 c8b8 e7f5
06low,1135,1. e4 Nc6 2. d4 d5 3. e5 Bf5 4. Bd3 Nxd4 5. c3 Bxd3 6. cxd4 Bg6 7. h4 h6 8. h5 Bh7 9. Nc3 e6 10. Nf3,Bb4 Qa4+ Qd7 Qxb4,r2qkbnr/ppp2ppb/4p2p/3pP2P/3P4/2N2N2/PP3PP1/R1BQK2R b KQkq - 1 10,f8b4 d1a4 d8d7 a4b4
