FEN,Moves
RKR5/8/7R/1k6/1N5R/8/1N6/1N6,b1a3 b1c3 
1N2KRN1/1N3N2/6N1/6NN/R3N3/1N2k3/R7/1N1RN3,e1c2 e1g2 
2R1RN2/6N1/7R/3k4/R1NN4/8/7N/3KN3,c4e3 c4b6 
3K4/1N1N2N1/R2N4/2NkN1N1/3N3R/1N6/5N1N/2R1R1NN,d7b6 d7f6 
KR2NN2/2N1N3/2N5/5N1R/k7/N2N1NNR/2N4N/2N1N3,d3b2 d3c5 
4RK2/5N1N/8/R7/2N1Nk1N/R4N2/N1N5/1N3NR1,h4g2 h4g6 
1RKRN3/3NN2N/3N4/8/8/4N2N/1N5R/1Nk2N2,b2d3 
1K6/3NN2N/2N4R/1k4NN/1N5R/6N1/3N1NNN/R1R1NN2,c6d4 c6a7 
4kN1N/7R/1NN3N1/N7/3N2NN/1N3N1N/N4N2/3RKR1N,g4f6 
3R2N1/2N5/8/2N4R/1Nk5/R5NN/2N5/NRK3N1,c2a3 c2e3 
8/5N2/R7/N2kN3/7R/6N1/2NN4/N1RKR1N1,c2e3 c2b4 
8/N7/6N1/4NN2/R7/1Nk4N/7R/1RKR4,a7b5 
1R6/2N5/N4N1R/k1NN4/N6R/5N2/N4NN1/K5N1,c5b3 c5b7 
4K3/4N3/6N1/R7/1N2kN1N/7R/8/1N1R1R2,b1d2 b1c3 
4NRKR/R7/3N2k1/R2N4/4N3/8/2N5/2N2N2,d5f4 d5e7 
6KR/R7/4N1k1/R7/N7/6N1/8/5R2,e6f4 e6f8 
6R1/N7/2N4R/4Nk2/R7/7N/8/2N1RK2,c6d4 c6e7 
2RNN2N/5N2/8/R7/3k4/R7/1N6/3KR2N,d8c6 d8e6 
1RKR4/4N1NN/5N1N/R5N1/1NkN3N/7R/N5NN/4N3,g2e3 
N1R1R3/7N/8/R7/3k4/7R/8/2NK4,c1e2 c1b3 
NN1K1NN1/R5N1/2NkN1N1/3N3R/N7/1N3N1N/N7/2R1R2N,g7f5 g7e8 
NN6/1N3N2/R7/3kN3/R2N3N/1N4N1/7N/2RKR1N1,a8b6 a8c7 
K1N5/6N1/7R/k3NN2/4N2R/2N3N1/4NN2/1R6,e5c4 e5c6 
2NR1N1N/1N1NN3/7N/4NN1N/R6N/2k2N2/R6N/1RK5,e7d5 
3K4/8/R2N4/3k4/R7/N4NN1/2N4N/2R1R2N,c2e3 c2b4 
3NRK2/N7/R7/4Nk2/R7/N2N3N/N3N3/N1N3R1,e2g3 e2d4 
R7/3k4/7R/N7/2N5/8/8/1NRKR3,c4e5 c4b6 
1NRKRN1N/3N3R/N1Nk4/7R/NN6/8/N6N/3NN3,h8f7 
6R1/N1N2N2/4N3/R6N/6Nk/R7/5N2/6NK,g1f3 
N1NRN1N1/N7/R7/2k4N/1N5R/4N2N/4N1N1/1RKN1N1N,b4d3 b4a6 
6k1/R7/2N1N3/4N3/8/8/3NNN2/5RKR,c6e7 
2RKR3/8/N6N/8/8/R7/3k4/3NN2R,e1f3 
KRN2N2/4NN1R/k1N3N1/N6R/2N4N/8/8/1N3N2,c6b4 c6b8 
4R3/N7/7R/2NkN3/7R/NN6/8/1NRKN3,b1c3 
3NR3/2NNN3/7N/5N2/R7/N2kN1N1/R2N4/2RK1NN1,d7c5 d7e5 
6RK/6N1/4N1N1/8/5N1N/3NNN2/R5N1/2N4k,d3f2 
2KR4/R6N/2k5/R1N5/N4N1N/4N3/4N1NN/NR3NNN,e2d4 
1N1KR1N1/R2NN3/N2kN3/R6N/N7/1N1N4/N5NN/2R4N,e7f5 e7c8 
2N2RN1/3N3R/3NkN2/7R/8/8/1N6/2NRK3,d7c5 d7f8 
3NRK2/N7/5N1R/N4k2/R7/1N5N/3N4/1N2N1R1,b3d4 
4K3/8/8/R7/4k3/1N5R/2N4N/3R1R2,b3d2 b3c5 
1NR1R1N1/R7/3k4/R2N4/8/8/2NN4/N1NK1N2,d2c4 d2e4 
N3KN2/NN2N3/1N6/R3N3/4k3/N3N2R/1N4NN/2NR1R2,b7c5 b7d6 
1N2R1R1/8/R4N2/1NN2kN1/7R/3N4/8/N3NKN1,b5d4 b5d6 
1N5R/R7/4NNkN/RN6/NN2N3/N3N1N1/2N5/NN3RKN,e6f4 e6f8 
R7/4k3/7R/2N5/8/4N2N/2NN3N/NN1RKR2,e3d5 e3f5 
2RK4/NN3N2/R6N/3k4/7R/N7/1N3N2/4RN1N,f1e3 
4NNRK/8/1N2N3/N1N1N3/4N3/N4N2/RN4N1/NN2N2k,e4f2 e4g3 
4R1N1/3N1N1N/7N/5N1R/N1N2k2/6NR/8/5KR1,g3e2 g3h5 
3N1N2/3N4/1N6/2N4N/7R/4k3/N6R/1NNRKRNN,b6c4 b6d5 
2KR4/7R/2k4N/R4NN1/4N2N/4N3/8/1RN2N2,f5d4 f5e7 
KR3NN1/5N2/8/N2N4/2NN1N2/7R/k7/7R,d5c3 d5b4 
2KR2N1/5N2/R6N/2k4N/R2N3N/N4N2/N3N3/1R1N1NN1,d4b3 d4e6 
N1N1RKRN/3N4/2N5/1N1N4/1N5N/R7/2N2k2/1N5R,b4d3 
4RK2/N6N/8/N6N/RN6/4Nk2/R7/3N2R1,h7g5 
N1RN1N2/8/7N/8/7R/NkN3N1/1N2NN1R/RK1NN3,e2c1 e2d4 
N2RK1N1/6N1/R7/4k3/R7/4N1N1/6N1/5R2,e3c4 e3g4 
RKR5/6NR/1k6/7R/7N/N5N1/4NN2/8,a3c4 
6KR/RN6/1NNN2k1/R1N3N1/NN2N3/2N1N3/7N/N3NR2,c6e5 c6e7 
NNKR1N2/8/3N3N/N4N2/R5N1/2k2N2/R1N3N1/1R5N,d6e4 d6b5 
N1K1N2N/5NN1/7N/N7/RN6/2k5/7R/1R1R4,b4a2 b4d5 
N5KR/N2NN3/RNN5/6kN/R7/3N4/7N/N4R1N,h2f3 
3k4/R2N4/1N6/6N1/2N3NN/2N3NN/1NNN1N2/2RKR3,g5e6 g5f7 
4KR2/8/7R/4k3/7R/8/N2NN3/3R4,d2f3 d2c4 
N1R1N3/5N1N/8/6NR/3k4/7R/5N2/3KR3,g5f3 g5e6 
2KR3N/N1N4N/R1N5/2k5/6NR/N6N/N3N1N1/1R4NN,c7a6 c7e6 
NR1R1N2/6N1/1NN3NN/4NN2/7R/2k2N2/R1N5/2K2N1N,b6a4 b6d5 
1KR1N3/7N/7R/1kN1N3/7R/3NN1NN/1N1N3N/R3NN2,e8d6 e8c7 
4RK2/NN5R/2N1Nk2/7R/2N4N/8/N1NN2N1/1NN3R1,d2e4 
R7/2N1k3/R7/1NN5/N7/8/NNNN2N1/3RKR2,c7d5 
4RKR1/4N3/3N4/RN3N2/2N2k2/7R/7N/7N,e7d5 e7g6 
N3N1NK/N7/N7/R6N/1N3NNk/R7/2N1NN2/2N3R1,f4g2 f4g6 
5NRK/R7/7k/R7/8/1N2NN2/1NNN4/6NN,e3g4 e3f5 
3N1RKR/2N1N3/N7/4N3/R7/6k1/R7/8,e7f5 
3RKR2/N3N3/1NN3NN/N6R/1N2kN2/3NN2R/1N4N1/N5N1,d3f2 d3c5 
N4RKR/R5N1/3N2k1/R7/8/2N2N2/2NN4/1NN5,f3h4 f3e5 
NRKR2N1/8/8/8/4N3/4N1N1/7R/2k4N,g3e2 
N4KR1/N2NN3/8/R4N2/2N2kN1/5N1R/7N/NN2R2N,e7d5 e7g6 
R2N4/1N1Nk3/7R/6NN/N5N1/NN6/N1N5/N1NRKR2,d8c6 
N7/NN6/8/6NN/7R/1NN1k3/N6R/3RKR2,c3d1 c3d5 
3R4/R2N3N/2k2N2/7R/8/8/5NN1/NRK3N1,d7e5 d7b8 
3R1R2/7N/N7/4N3/7R/4k3/R3N3/1N2K3,e5c4 e5g4 
7N/8/NN3N2/7R/N1NkN1N1/R2N4/NN3N2/N1RKR3,a1c2 a1b3 
1K4N1/N4N1R/1kN4N/7R/3N4/1N4N1/8/R1R3NN,a7c8 
2RKR3/N1N2NN1/N6N/3N2N1/1N6/R7/2Nk4/R6N,g5f3 g5e4 
2R5/8/7R/1k2N3/1N5R/6N1/N2N4/RK2N3,a2c3 
5RKR/R1N5/N1N3k1/R7/4N3/NN4N1/1N1N1N2/N3NNNN,c6e5 c6e7 
N1N1RKR1/NN5N/8/R4N2/4Nk2/R4NN1/2NN3N/3N4,g3e2 g3h5 
1N2NNNK/1N5N/8/R7/1NN3Nk/R6N/4N3/N5R1,f8g6 
3k4/7R/3N4/8/8/8/3N2N1/NNRKR3,d6b7 d6f7 
K7/8/7R/k7/5N1R/2N1N2N/8/1R2N3,e3c4 
4NN2/R7/7k/R3N3/1NN5/3N4/3N4/1N4RK,e5g4 e5f7 
3KR2N/7N/3N2N1/7R/3k4/R2N4/8/2RN4,d6b5 d6f5 
1KR3NN/7R/Nk3NN1/7R/3N4/7N/8/R1NN1N2,f6d5 f6d7 
2NRNR2/7N/R7/4k3/R3N3/8/1N4N1/NN2KN2,b2d3 b2c4 
3K1NNN/4N3/2N2N2/5N2/R7/N2k4/7R/2R1R1N1,c6b4 c6e5 
5KR1/2N5/6NR/4Nk2/R7/N7/8/4R3,g6h4 g6e7 
2NK1NNN/3N4/1N3N2/7R/3k4/7R/N7/2R1R3,f8e6 
N2N2RK/R7/N1N4k/R7/N7/8/8/3N4,d8f7 
8/N6N/R7/N4k2/R7/N2N3N/N2N1N1N/1NN1RKRN,h1g3 
1N1K4/N3N3/5N2/NN4N1/7R/3k4/R3N3/N1R1R3,e2c1 e2f4 
4RK2/3N4/N2N4/RN6/5k2/R4N2/3N3N/N1N2NRN,c1e2 c1d3 
3RKN2/4N3/6N1/R3NN2/4k3/7R/2N4N/2N2R2,f5g3 f5d6 
8/1N6/8/N6R/1k6/7R/8/RKR3N1,a5c6 
3RKR2/1N3NNN/7N/6NN/6N1/7R/4k3/R7,h5g3 h5f4 
1RKR4/7N/R4NN1/2k5/R1N5/7N/6N1/3N4,f6e4 f6d7 
1RKR1N2/2N4R/1Nk5/1N4NR/4NN2/2N1N2N/8/4N3,b5d4 b5a7 
2N2KRN/2N2N1R/5k2/7R/8/8/8/4R3,c7d5 c7e8 
KR6/6N1/7R/k1N5/7R/8/8/7N,c5b3 c5b7 
k1NN4/1N5R/2NN1N2/4N3/8/N6N/1N6/KR2NN1N,c8b6 
NN2R1R1/N2N3N/8/5N1R/N4k2/R7/N7/5KN1,g1e2 g1h3 
4R3/R7/2Nk4/R7/NN3NNN/8/8/2RK1NNN,h4f5 
4RK2/7R/1N3k2/R7/8/1N6/8/4N1R1,b6d5 b6d7 
RKR5/7N/8/2N5/8/3N4/7R/1k1N4,d1c3 
N2R1R2/N7/2N5/7R/4k3/3NN2R/8/2N1K1N1,d3f2 d3c5 
5R1R/R7/4N1k1/RNN5/1N2N3/8/2N5/6K1,e6f4 e6f8 
4R3/8/8/6N1/6NR/2NkN3/7R/2RK4,g4f2 g4e5 
1N3RN1/R7/4k3/R7/6N1/7N/8/3RK1NN,h3f4 h3g5 
KR6/1N1N4/7N/2N5/N1N5/7R/k7/N6R,a4c3 
1N2R3/6N1/3N4/1N6/3N2NR/2NkN3/R2N4/2RK4,g4f2 g4e5 
4R3/1N3N2/8/R4N2/3N1k2/7R/8/5KR1,d4e2 d4e6 
3K4/6N1/7R/3k4/R7/6N1/4NN2/2R1R3,e2c3 e2f4 
1N1RK3/4N2R/4kN2/7R/7N/5N2/7N/1N3R2,f3d4 f3g5 
3RK3/N1N1N1N1/6NN/N6R/1N2k2N/3N3R/1N5N/N4RN1,d3f2 d3c5 
3KR2N/7N/1N6/7R/2NkN3/R1N5/N7/2R4N,c3e2 c3b5 
2N5/N4N1N/N1N5/2N3N1/7R/4k1NN/R7/2NRKR1N,g3f1 g3f5 
1KRN2N1/6NR/Nk4N1/N6R/6N1/3N4/6N1/R7,a5c4 
NN1N3k/R7/5N2/N6N/1N1N2N1/N7/2N5/1N1N1NRK,d8f7 
2KRN3/2N4R/2k5/R5N1/5N2/3N4/5N2/1R2NN2,d3b4 d3e5 
NRK5/5N2/N3N3/2N5/7R/1Nk5/R7/3R4,c5a4 c5e4 
3Nk2N/N6R/N7/8/N6N/1N6/6N1/3RKRN1,a6c7 
N3K1N1/8/2N4N/1N6/R7/4k3/7R/1NNR1R2,h6g4 h6f5 
RK6/8/3N3N/7R/Nk6/N6R/8/2R5,a3c2 
RNR2N1N/3NN2N/5N1R/1k1N3N/7R/4N3/8/1K2N1N1,d5c3 d5c7 
2k5/7R/4N3/6N1/4N3/N7/8/1RKR4,e4d6 
6RK/R7/7k/R7/N7/1N6/1N5N/5N1N,h2g4 
8/6N1/4N3/7R/2kN4/5N1R/5N2/1RKRN3,f3d2 f3e5 
4N3/8/R1N5/2kN1N1N/R1N2N2/8/8/1RKR3N,f4d3 f4e6 
7k/R7/5N2/4N3/4N3/7N/8/6RK,e5g6 e5f7 
2NRN2N/5N2/7R/2kN3N/R1N3N1/5NN1/N7/1RK2NNN,g3e4 
2NRKR2/1N6/N6R/3Nk2N/5N1R/1NN3NN/4N1N1/7N,f4d3 f4g6 
2RKN1N1/1N5N/N7/N6R/N2k4/R7/NN3N2/4R3,a5b3 a5c6 
3R4/1NN3NN/R3N3/N3k3/N6R/2N3NN/2N1N1N1/NN2KR2,a5c4 a5c6 
6RK/8/N7/R6N/7k/R3N3/8/5N2,e3g2 e3f5 
K2N4/2N5/2N1N3/7N/N6R/k2N1N2/7R/1R6,c7b5 
5KN1/NNN5/3N3N/N1NN4/RN6/N4k2/R7/3NRNR1,f1d2 f1h2 
7R/N7/R5N1/4N1k1/R7/N7/8/5RK1,e5f3 e5f7 
NN3RK1/N6N/N3N3/R5N1/N4NkN/R1N5/1N2N3/1N5R,h7f6 
2K4N/2NN3R/2kN1N2/R7/4N3/8/3N2N1/NR1R4,d7e5 d7b8 
4RKR1/1N4N1/6N1/1N2N3/8/2NN1N1N/7R/N4k2,f3d2 f3h2 
3R1RN1/R7/4kN1N/RN6/8/N7/3N4/1N2KN2,b5d4 b5c7 
1R6/6N1/5N1N/7R/k6N/3N3R/2N5/K7,d3b2 d3c5 
1N4K1/R6N/6kN/R7/3N4/8/NN6/5R1R,h7f8 
1NRKR3/8/N7/8/1N6/R7/3k3N/R7,h2f1 h2f3 
3NN1K1/R1N3N1/N5kN/R6N/4N3/8/N7/3N1R1R,h5f4 
4RK2/3N4/8/3N3N/R7/5k2/7R/6R1,d7e5 
1RN1N1NN/8/R7/2k3NN/2N4R/N4N2/2N3N1/2KR1N2,g5e4 g5e6 
2KRN3/R6N/2k5/5N1R/5N2/8/5N2/1R4NN,f5d4 f5e7 
8/5N1N/R1N5/7k/R7/4N3/8/3N2RK,h7f6 
1RKR4/6NR/2k3N1/7R/7N/8/8/8,g6e5 g6e7 
2k5/7R/5N2/1N5N/8/8/6N1/1RKR4,b5d6 b5a7 
2RKR3/1N2N1N1/N5NN/1N6/NN3NN1/R7/2NkN3/R5N1,g1f3 
N4RKN/NN4N1/N3N3/R7/NN1N2k1/R4NN1/4N3/N6R,f3h2 f3e5 
N4R1N/N5N1/2N4N/1N5R/4k3/R7/8/N2RK3,b5c3 b5d6 
4KR2/N1N1N3/1N6/RN6/4k3/R7/8/3RN1N1,b5c3 b5d6 
1RKN2N1/2N4N/N5N1/7R/2k5/R1N3N1/7N/3R2NN,g6e5 
NRKRN3/7R/2kN1NNN/7R/N3N3/7N/8/2N2N2,g6e5 g6e7 
1N1KR1N1/R6N/2Nk2N1/3N3R/1N3N2/2N4N/N3N3/N1RN2N1,c3e4 c3b5 
8/8/8/1N3N2/R2N4/4NN1k/R7/6RK,f3g1 f3g5 
KR4N1/8/4N3/4N2N/8/2N2N2/7R/k3N3,e1c2 
N4R1R/8/8/8/R7/3N2k1/R2N4/4N1K1,d2f1 d2e4 
4RKR1/N7/2N4N/1N2N2R/5kN1/7R/8/3N1N2,e5d3 e5g6 
N2N2RN/2N4R/2N2kN1/R7/N1N5/N2N4/1N6/2N1RKN1,c7d5 c7e8 
5NR1/1N2N3/8/N7/R7/7k/RNN5/3N3K,d1f2 
1R3NN1/3NN1N1/4N3/R1N4N/1Nk5/R1N3N1/N7/2KR2N1,d7e5 d7b6 
NRKR4/3N1N1N/N2NN3/4NN2/6NR/1NkN3N/7R/N6N,d6e4 d6b5 
3R4/5N2/8/8/R6N/3Nk3/4N2R/2N1KR2,h4g2 h4f5 
3KR3/5N2/1N3N2/3N3R/N1Nk4/R2N4/8/2RN1NN1,g1e2 g1f3 
1RKR4/N1N2N2/2N1NN2/1N6/3N2N1/N3N3/7R/2k5,d4e2 d4b3 
NN2R1N1/2NN3R/N2k2N1/7R/1N4N1/5N2/2N1N3/1NRK1N2,c7b5 c7e8 
5R2/N7/8/R7/4k3/R7/2N5/3RKN2,f1d2 f1g3 
7R/4k3/1N2N2R/6N1/8/N7/8/3RKR2,b6d5 b6c8 
2R5/5N2/R7/1N1k4/7R/8/8/N2KR3,b5c3 b5c7 
N1RKR3/7N/N4N2/6NR/3k2N1/7R/6N1/3N4,g5f3 g5e6 
1N3RK1/NN1NN3/RNN5/6k1/R1N3N1/3NN3/1N6/4N2R,e1f3 
3NRKR1/N7/N6R/2N2k2/R1N5/7N/8/8,c4e3 c4d6 
NR6/7N/1NN5/8/7R/2k2N2/7R/2KR1N2,b6a4 b6d5 
1R1R4/4N2N/5N1N/R7/1Nk2N2/R5N1/5N2/2K2N2,f1d2 f1e3 
2RK1N2/7R/NN1k4/R7/8/8/4N3/N1N1R1N1,b6c4 b6c8 
3N3N/5N2/7R/3k4/R1N5/1N6/8/2RKR3,c4e3 c4b6 
5RK1/N7/R7/2NN2k1/R7/4N3/4N3/N2N3R,c5e4 c5e6 
1RN5/N5NR/k4N2/7R/8/3N3N/8/K4N1N,d3b4 d3c5 
K2N2N1/4N2R/k7/3N3R/3N2N1/7N/5N2/NR4N1,d5b4 d5c7 
RK6/8/3N4/7R/Nk5N/NN4NR/3NN3/1NR5,a3c2 
R7/4Nk2/R7/5N2/8/8/3N4/4RKR1,f5d6 f5h6 
5R2/8/2N5/R7/4k2N/7R/1N5N/3RK1NN,h1f2 h1g3 
3NRKR1/8/8/8/3N4/3N1N2/7R/5kN1,f3d2 f3h2 
R7/1N2k2N/4NN1R/7N/2N3N1/8/N5N1/1N1RKR2,f6d5 f6g8 
RK6/6NR/1kNN2NN/7R/3N2NN/7N/5N2/1NRN1NNN,d6c4 d6c8 
5N1R/N7/N3N3/1N6/R7/6k1/R1N5/N1N2RK1,c1e2 
7R/2NkN1N1/R6N/3N1N2/1N1N4/N6N/N5NN/N1RKR1N1,d5b6 d5f6 
N1K1N1N1/4N3/R7/1Nk2N1N/6NR/N1N1NN1N/N7/1R1R4,c3a4 c3e4 
4R1R1/8/R4N2/5k2/N5NR/8/N7/1N3K2,g4e3 g4h6 
1KR2N1N/6N1/4N3/7R/NkN3NN/7R/1N1NN3/RN6,b2d3 
4N3/2NN3R/1NkN1N2/7R/5N1N/N1N4N/7N/NRKR4,d7e5 d7b8 
N2k4/R6N/6N1/3N2N1/8/NN3NNN/1N1N3N/N1RKR1N1,g5e6 g5f7 
R7/2N4k/R6N/3N1N2/8/8/3N1N2/1NNN2RK,d5f6 
1RKR1NN1/2N4N/N4N1N/R5N1/2k5/2N4R/N7/5NN1,f1d2 f1e3 
2RK4/8/R5N1/3k4/R7/5N2/8/2N1R3,g6f4 g6e7 
N1NRKR2/8/N6R/1N1Nk2N/N3NN1R/6NN/2N5/1N5N,f4d3 f4g6 
N1R2N2/R2N4/N1NkN3/R7/NN1N4/1N5N/N7/N2KR1NN,d4b5 d4f5 
5KR1/8/N1N5/8/NN5R/N1N2k2/N6R/2N1R3,c6d4 c6e5 
N4RKR/R7/6k1/R7/8/8/6N1/6N1,g2f4 g2h4 
7R/3Nk2N/R3N3/8/5N2/7N/8/3RKR2,f4d5 f4g6 
1NR1R3/1N4N1/2N4R/3kN1N1/7R/N4NN1/5N2/N1NKN1NN,c6b4 c6e7 
1N3R1R/1N6/N7/R7/6k1/R2N4/8/6K1,d3f2 d3e5 
2R5/3NN3/5NNR/1k6/1NN4R/3N3N/5NN1/RK2N3,c4a3 c4d6 
N2N2k1/R1N5/2N1N3/2N5/3N4/3N4/1N1N1N2/1N2NRKR,c6e7 
N4R1R/2NN4/1N2N3/NN2N3/R1N5/3N2k1/R5N1/2N3K1,c1e2 
3RKR1N/2N5/8/1N6/6N1/R7/4k2N/7R,b5c3 b5d4 
3R4/4N1N1/R3N3/4k3/R7/7N/2N1N3/3NKR2,e7c6 e7g6 
KR6/N2N4/8/6N1/1N6/2N2NN1/N3N2R/k4N2,b4c2 
1N1NR1N1/N6N/7N/8/4N2R/3k4/7R/1NRK2N1,e4f2 e4c5 
N6R/4k3/R7/8/N3NNN1/8/2N5/3RKR2,f4d5 f4g6 
3RKR2/8/4N2R/1N2k1NN/7R/6N1/2N5/1N3N2,g5f3 g5f7 
4RN2/N1N5/8/8/2N2N1R/2N2k2/7R/5KR1,c4d2 c4e5 
5RKR/4N3/8/2N5/3N4/R2N4/6k1/R6N,d3e1 d3f4 
2RKRN2/1N3NN1/R6N/N1Nk2N1/R6N/8/5N1N/1NN1N2N,b1c3 
3R1R2/7N/8/R7/3Nk3/4N2R/8/2N1K3,h7g5 h7f6 
2R1R2N/N7/7R/3k1N2/7R/8/8/2NK2N1,f5e3 f5e7 
NN2KN2/4N3/6N1/4N2R/4k3/1N5R/6N1/3R1R2,b3d2 b3c5 
NNR1R3/1N3N2/R2N4/2NkN3/R2N3N/5N2/8/N1NK2N1,a8b6 a8c7 
1NR5/8/8/3N4/7R/2Nk4/R6N/3KR3,d5b4 d5f4 
3N2RK/8/4N3/2N5/5N2/R1N5/3N3k/R7,d2f1 d2f3 
R2N4/4N2R/1k6/1N5R/4N3/3N4/5NN1/1KR4N,e7d5 e7c8 
5R2/R6N/3Nk3/4N2R/2N4N/N1N3N1/1N3N1N/NNNRK3,h7g5 h7f8 
N6R/2N2kN1/5N1R/N1NN4/NN3N2/1N1N4/8/1NN1RKR1,d3e5 
3k4/R7/1N6/N4N2/N6N/8/5NN1/N1RKRN2,a5c6 a5b7 
N4KR1/8/8/7N/1N5R/N4k2/NN5R/N1NNRN2,f1d2 f1h2 
N2RKR2/NN4N1/N2N4/2N1N2N/1NN4N/R7/3Nk3/R7,h5g3 h5f4 
N2RKRN1/2N3N1/N2N4/N7/N1N5/R7/1N1Nk3/R7,a4c3 
K2N1N2/N3N2R/k2N2N1/NN3N1R/2N5/6N1/6N1/1RNN1N2,b5c7 
1NRKR2N/7R/2Nk2N1/R2N3N/N4N2/8/2N1N3/6N1,h8f7 
1NR5/7R/3k2N1/R7/8/6N1/6NN/3KRN2,g3e4 g3f5 
